date,school,oct2023,oct2024,oct2025,count,k,g1,g2,g3,g4,g5
2026-08-14,LOUISVILLE,422,417,382,384,67.0,55.0,69.0,58.0,62.0,73.0
2026-08-14,MEADOWLARK K-5,464,468,471,486,82.0,83.0,81.0,74.0,80.0,86.0
2026-08-14,MESA,233,230,224,202,24.0,28.0,35.0,31.0,38.0,46.0
2026-08-14,MONARCH K-5,274,264,264,267,35.0,43.0,41.0,40.0,49.0,59.0
2026-08-14,MONTESSORI SCHOOL,227,232,193,186,41.0,28.0,35.0,26.0,32.0,24.0
2026-08-14,NEDERLAND,165,172,166,166,31.0,24.0,30.0,25.0,26.0,30.0
2026-08-14,PEAK TO PEAK K-5,447,445,450,445,73.0,71.0,72.0,73.0,78.0,78.0
2026-08-14,PIONEER,415,397,371,393,91.0,62.0,59.0,65.0,57.0,59.0
2026-08-14,RYAN,426,410,393,415,64.0,61.0,55.0,74.0,80.0,81.0
2026-08-14,SANCHEZ,285,290,276,254,33.0,34.0,53.0,30.0,53.0,51.0
2026-08-14,SUPERIOR,429,416,433,417,62.0,78.0,56.0,76.0,75.0,70.0
2026-08-14,UNIVERSITY HILL,372,380,368,353,48.0,63.0,53.0,54.0,71.0,64.0
2026-08-14,WHITTIER,291,267,257,250,39.0,35.0,42.0,45.0,48.0,41.0
2026-08-14,TOTAL ELEMENTARY,10804,10681,10427,10358,,,,,,
2026-08-18,ASPEN CREEK K-5,420,443,473,502,91.0,79.0,80.0,74.0,88.0,90.0
2026-08-18,BEAR CREEK,298,318,312,331,43.0,60.0,53.0,51.0,58.0,66.0
2026-08-18,BIRCH,279,276,261,259,45.0,37.0,43.0,38.0,41.0,55.0
2026-08-18,BCSIS,265,254,253,229,28.0,38.0,36.0,44.0,35.0,48.0
2026-08-18,BOULDER UNIVERSAL,42,46,39,47,4.0,3.0,8.0,6.0,13.0,13.0
2026-08-18,COAL CREEK,305,283,269,256,55.0,37.0,35.0,45.0,35.0,49.0
2026-08-18,COLUMBINE,352,343,313,306,47.0,61.0,41.0,54.0,50.0,53.0
2026-08-18,CREEKSIDE,333,327,288,252,29.0,33.0,38.0,44.0,49.0,59.0
2026-08-18,CREST VIEW,410,390,330,332,47.0,53.0,51.0,44.0,57.0,80.0
2026-08-18,DOUGLASS,286,282,281,286,43.0,43.0,41.0,50.0,56.0,53.0
2026-08-18,EISENHOWER,311,276,265,235,35.0,39.0,30.0,42.0,45.0,44.0
2026-08-18,ELDORADO K-5,263,256,252,275,50.0,45.0,42.0,41.0,45.0,52.0
2026-08-18,EMERALD,355,347,365,364,70.0,68.0,62.0,42.0,59.0,63.0
2026-08-18,FIRESIDE,396,397,406,402,72.0,77.0,54.0,58.0,80.0,61.0
2026-08-18,FLATIRONS,164,163,151,147,18.0,28.0,19.0,30.0,32.0,20.0
2026-08-18,FOOTHILL,437,418,434,451,66.0,71.0,65.0,79.0,85.0,85.0
2026-08-18,GOLD HILL,12,10,11,11,3.0,1.0,0.0,2.0,3.0,2.0
2026-08-18,HEATHERWOOD,226,233,225,226,39.0,32.0,41.0,40.0,30.0,44.0
2026-08-18,HIGH PEAKS,245,257,283,306,51.0,52.0,53.0,49.0,51.0,50.0
2026-08-18,HORIZONS K-5,242,238,245,250,36.0,41.0,42.0,41.0,44.0,46.0
2026-08-18,JAMESTOWN,18,17,17,18,2.0,4.0,4.0,2.0,3.0,3.0
2026-08-18,KOHL,251,254,256,247,31.0,48.0,40.0,41.0,46.0,41.0
2026-08-18,LAFAYETTE,444,465,450,398,44.0,70.0,70.0,64.0,70.0,80.0
2026-08-18,LOUISVILLE,422,417,382,381,67.0,55.0,69.0,56.0,61.0,73.0
2026-08-18,MEADOWLARK K-5,464,468,471,486,82.0,83.0,81.0,74.0,80.0,86.0
2026-08-18,MESA,233,230,224,202,24.0,28.0,35.0,31.0,38.0,46.0
2026-08-18,MONARCH K-5,274,264,264,267,35.0,43.0,41.0,40.0,49.0,59.0
2026-08-18,MONTESSORI SCHOOL,227,232,193,184,40.0,28.0,35.0,26.0,31.0,24.0
2026-08-18,NEDERLAND,165,172,166,165,30.0,24.0,30.0,25.0,26.0,30.0
2026-08-18,PEAK TO PEAK K-5,447,445,450,446,73.0,71.0,72.0,74.0,78.0,78.0
2026-08-18,PIONEER,415,397,371,390,89.0,62.0,59.0,64.0,57.0,59.0
2026-08-18,RYAN,426,410,393,415,64.0,61.0,55.0,73.0,81.0,81.0
2026-08-18,SANCHEZ,285,290,276,255,34.0,34.0,53.0,30.0,53.0,51.0
2026-08-18,SUPERIOR,429,416,433,413,61.0,77.0,56.0,76.0,74.0,69.0
2026-08-18,UNIVERSITY HILL,372,380,368,353,49.0,63.0,53.0,54.0,70.0,64.0
2026-08-18,WHITTIER,291,267,257,250,39.0,35.0,42.0,45.0,48.0,41.0
2026-08-18,TOTAL ELEMENTARY,10804,10681,10427,10337,,,,,,
2026-08-21,ASPEN CREEK K-5,420,443,473,498,90.0,78.0,80.0,73.0,88.0,89.0
