birth_year,area,normalized_area,births,is_total,row_ok,source_file,meeting_date,table_date,k_year
1996,E County Total,E County Total,1008,True,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Aspen Crk,Aspen Creek,64,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,BC-Creekside,BC-Creekside,11,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,BC-Mesa,BC-Mesa,26,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Bear Creek,Bear Creek,22,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Birch,Birch,59,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Coal Creek,Coal Creek,61,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Columbine,Columbine,148,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Creekside,Creekside,199,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Crest View,Crest View,131,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Douglass,Douglass,45,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Eisenhower,Eisenhower,88,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Eldorado (K-5),Eldorado,0,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Emerald,Emerald,68,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Fireside,Fireside,66,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Flatirons,Flatirons,67,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Foothill,Foothill,92,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Gold Hill,Gold Hill,1,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Heatherwood,Heatherwood,77,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Jamestown,Jamestown,5,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Kohl,Kohl,51,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Lafayette,Lafayette,132,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Louisville,Louisville,75,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Mesa,Mesa,32,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Monarch (K-5),Monarch,38,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Nederland,Nederland,79,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Ryan,Ryan,121,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Sanchez,Sanchez,86,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Superior,Superior,81,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Unlocated,Unlocated,4,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Whittier,Whittier,136,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,BVSD,BVSD,2065,True,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,Boulder Total,Boulder Total,1029,True,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1997,E County Total,E County Total,947,True,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Aspen Crk,Aspen Creek,68,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,BC-Creekside,BC-Creekside,6,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,BC-Mesa,BC-Mesa,22,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Bear Creek,Bear Creek,16,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Birch,Birch,67,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Coal Creek,Coal Creek,58,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Columbine,Columbine,143,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Creekside,Creekside,183,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Crest View,Crest View,132,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Douglass,Douglass,42,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Eisenhower,Eisenhower,92,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Eldorado (K-5),Eldorado,6,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Emerald,Emerald,56,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Fireside,Fireside,60,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Flatirons,Flatirons,66,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Foothill,Foothill,85,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Gold Hill,Gold Hill,4,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Heatherwood,Heatherwood,82,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Jamestown,Jamestown,5,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Kohl,Kohl,47,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Lafayette,Lafayette,163,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Louisville,Louisville,78,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Mesa,Mesa,43,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Monarch (K-5),Monarch,73,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Nederland,Nederland,83,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Ryan,Ryan,154,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Sanchez,Sanchez,95,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Superior,Superior,104,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Unlocated,Unlocated,4,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Whittier,Whittier,125,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,BVSD,BVSD,2162,True,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,Boulder Total,Boulder Total,995,True,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1998,E County Total,E County Total,1065,True,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1999,Aspen Crk,Aspen Creek,62,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1999,BC-Creekside,BC-Creekside,3,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1999,BC-Mesa,BC-Mesa,13,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1999,Bear Creek,Bear Creek,21,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1999,Birch,Birch,50,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1999,Coal Creek,Coal Creek,69,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1999,Columbine,Columbine,156,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1999,Creekside,Creekside,175,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1999,Crest View,Crest View,130,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1999,Douglass,Douglass,43,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
