school,vintage,school_year,measure,value,data_type,_source,_page,_table,extraction,verified_against_primary
Mesa,oct2025,2029-30,pct_capacity,54.0,projection,data/raw/bvsd/worksession_2025-10-21.pdf,17,Elementary Attendance Area Region - Boulder (slide 17),ocr+eye,True
Mesa,oct2025,2029-30,rounds,1.5,projection,data/raw/bvsd/worksession_2025-10-21.pdf,17,Elementary Attendance Area Region - Boulder (slide 17),ocr+eye,True
Bear Creek,feb2026,capacity,capacity,492.0,capacity,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Bear Creek,feb2026,capacity,capacity_rounds,3.5,capacity,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Bear Creek,feb2026,2025-26,enrollment,312.0,actual (as printed),data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Bear Creek,feb2026,2025-26,pct_capacity,63.0,actual (as printed),data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Bear Creek,feb2026,2025-26,rounds,2.1,actual (as printed),data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Bear Creek,feb2026,2026-27,enrollment,299.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Bear Creek,feb2026,2026-27,pct_capacity,61.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Bear Creek,feb2026,2026-27,rounds,2.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Bear Creek,feb2026,2027-28,enrollment,293.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Bear Creek,feb2026,2027-28,pct_capacity,60.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Bear Creek,feb2026,2027-28,rounds,2.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Bear Creek,feb2026,2028-29,enrollment,288.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Bear Creek,feb2026,2028-29,pct_capacity,59.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Bear Creek,feb2026,2028-29,rounds,1.9,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Bear Creek,feb2026,2029-30,enrollment,310.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Bear Creek,feb2026,2029-30,pct_capacity,63.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Bear Creek,feb2026,2029-30,rounds,2.1,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Bear Creek,feb2026,2030-31,enrollment,320.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Bear Creek,feb2026,2030-31,pct_capacity,65.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
