spec,key,fit_through,vintage,target_fall,horizon,actual,p50,p2_5,p10,p25,p75,p90,p97_5,in50,in80,in95,above_p90,below_p10,ape_model,pct_err_model,ape_bvsd
trend,ryanelementaryschool,2024,jan2025,2025,1,393.0,435.07461864738616,351.357773617342,382.1250725784033,408.62365657418576,450.42469701567677,461.73166673048047,473.7202464149721,False,True,True,False,False,10.706009833940499,10.706009833940499,3.307888040712468
trend,superiorelementaryschool,2024,jan2025,2025,1,433.0,422.21837410355363,397.07720408960824,402.4641891364015,411.6055152145297,431.94176196354715,442.19353811891517,453.03853157544796,False,True,True,False,False,2.489982886015328,-2.489982886015328,3.233256351039261
trend,universityhillelementaryschool,2024,jan2025,2025,1,368.0,361.35811679482765,344.21306371743935,351.2526093275395,356.56961235589586,366.69404254868965,379.71796413837933,388.40848431557265,False,True,True,False,False,1.8048595666229208,-1.8048595666229208,1.358695652173913
trend,whittierinternationalelementary,2024,jan2025,2025,1,257.0,252.182873065949,230.81991769277124,234.752152805435,240.83985861579717,264.13997665757506,271.08759061999746,277.08856568451927,True,True,True,False,False,1.8743684568291843,-1.8743684568291843,1.9455252918287935
level,aliciasanchezelementaryschool,2023,jan2024,2024,1,290.0,275.96955481950215,236.9391358659,248.1582438640438,261.5600982323096,289.96217578551347,299.3470812071131,307.7930633973889,False,True,True,False,False,4.838084544999258,-4.838084544999258,6.896551724137931
level,aliciasanchezelementaryschool,2023,jan2024,2025,2,276.0,265.2136586650007,215.37055666137584,232.35303767418173,247.77138469101624,284.7103077608663,301.43502577609064,319.2374171652126,True,True,True,False,False,3.9080946865939468,-3.9080946865939468,15.217391304347826
level,bcsis,2023,jan2024,2024,1,511.0,495.47938804583964,461.87833910955516,466.2120607470308,487.3335929266783,501.9080636362319,507.06924222714235,513.5711262172608,False,False,True,True,False,3.0373017522818704,-3.0373017522818704,4.892367906066537
level,bcsis,2023,jan2024,2025,2,536.0,496.75660871899163,442.94325923624626,463.2797549152083,477.6583089552073,510.67840362891417,522.2953271420836,535.2893493324402,False,False,False,True,False,7.321528224068726,-7.321528224068726,10.447761194029852
level,bearcreekelementary,2023,jan2024,2024,1,318.0,292.359962707626,250.2670610120402,257.6272710503201,280.6663240747835,310.10338291501694,318.5267335076131,329.9396734351204,False,True,True,False,False,8.062904808922648,-8.062904808922648,9.748427672955977
level,bearcreekelementary,2023,jan2024,2025,2,312.0,288.48079855831423,233.0252178949694,250.10556901025646,268.91304524746533,306.9820442587349,323.48537246029207,344.49558844993817,False,True,True,False,False,7.538205590283899,-7.538205590283899,12.5
level,coalcreekelementaryschool,2023,jan2024,2024,1,283.0,296.11251193057086,260.2628060159591,267.96097094687514,281.00357872864663,301.94318728666445,340.5468310937231,349.51038102503975,True,True,True,False,False,4.633396441897831,4.633396441897831,1.7667844522968197
level,coalcreekelementaryschool,2023,jan2024,2025,2,269.0,290.21373139413805,245.11540264362333,259.45046171702506,274.33937625540773,309.5907221858553,339.14661929644984,356.25527200169626,False,True,True,False,False,7.886145499679572,7.886145499679572,2.2304832713754648
level,columbineelementaryschool,2023,jan2024,2024,1,343.0,342.12147999852425,293.7049937412912,294.45513331923735,336.38452259333707,343.98742579250677,351.48955932709316,352.9205996799512,True,True,True,False,False,0.2561282803136295,-0.2561282803136295,5.539358600583091
level,columbineelementaryschool,2023,jan2024,2025,2,313.0,333.44035370365515,278.72594351391535,291.7010925364158,317.442615560316,340.7431614986739,345.6552704538383,351.038458007573,False,True,True,False,False,6.530464442062348,6.530464442062348,1.2779552715654952
level,communitymontessori,2023,jan2024,2024,1,232.0,231.6030450009162,195.47293795759566,198.84136149210062,224.50147879296364,236.52952743879808,240.82951461712844,244.70855355089827,True,True,True,False,False,0.17110129270852978,-0.17110129270852978,2.586206896551724
level,communitymontessori,2023,jan2024,2025,2,193.0,231.0913036928284,189.95187850297566,199.39172005574156,218.8060233534863,237.74719345596046,244.2967786860247,249.78326620202256,False,False,True,False,True,19.736426783848916,19.736426783848916,17.616580310880828
level,creeksideelementaryatmartinpark,2023,jan2024,2024,1,327.0,319.0052047654271,280.9417250817269,287.89030692538563,308.410454293223,349.6015909966819,358.7651968810312,369.46226704513094,True,True,True,False,False,2.444891509043702,-2.444891509043702,1.834862385321101
level,creeksideelementaryatmartinpark,2023,jan2024,2025,2,288.0,313.24564292380575,260.2061235673222,274.18089759362437,293.87992039276503,336.8666852540637,355.5127314390486,376.1560902533509,False,True,True,False,False,8.76584823743255,8.76584823743255,8.680555555555555
level,crestviewelementary,2023,jan2024,2024,1,390.0,410.2388194404564,346.88639291831635,354.69522132516397,397.09123080742216,421.84023417495524,440.9538200236718,448.93076036168856,False,True,True,False,False,5.189440882168303,5.189440882168303,1.2820512820512822
level,crestviewelementary,2023,jan2024,2025,2,330.0,392.817864814079,317.146017470123,336.6342815460806,369.78000414074234,415.07148265435757,434.0495740939462,456.8661350510438,False,False,True,False,True,19.03571661032696,19.03571661032696,9.696969696969695
level,douglasselementaryschool,2023,jan2024,2024,1,282.0,290.70446145954935,232.01551676338337,234.1576805003627,276.1275350137057,294.6685419479645,306.32693794696604,309.527584312933,True,True,True,False,False,3.086688460833103,3.086688460833103,3.5460992907801416
level,douglasselementaryschool,2023,jan2024,2025,2,281.0,287.28966734447545,219.22712344667804,232.9685613190055,266.1916545665852,301.52729678974674,311.7394362101519,321.0760615283412,True,True,True,False,False,2.2383157809521164,2.2383157809521164,5.693950177935943
level,eisenhowerelementaryschool,2023,jan2024,2024,1,276.0,308.373132340076,256.767503811494,259.51586145764685,283.30595173311343,316.3056580721486,329.08119861441253,332.33827403779253,False,True,True,False,False,11.729395775389849,11.729395775389849,3.260869565217391
level,eisenhowerelementaryschool,2023,jan2024,2025,2,265.0,303.36656380874695,240.00198208527476,261.23074711932765,277.7603565293117,325.6782878906116,341.3771015351764,357.39775824897356,False,True,True,False,False,14.47794860707432,14.47794860707432,4.150943396226415
level,emeraldelementaryschool,2023,jan2024,2024,1,347.0,342.07124098897964,309.50999993094365,319.6815818015905,329.65353150663884,351.5245153494393,362.69654862706153,369.8325486656375,True,True,True,False,False,1.4203916458271935,-1.4203916458271935,0.8645533141210374
level,emeraldelementaryschool,2023,jan2024,2025,2,365.0,334.7564706761641,298.0938104129707,309.31009438944994,321.1305467559358,348.5871032597464,360.94037734517303,372.5978631920133,False,False,True,True,False,8.285898444886548,-8.285898444886548,8.493150684931507
level,firesideelementaryschool,2023,jan2024,2024,1,397.0,396.36348525687504,343.9797977271757,350.52835561393374,383.59532527149673,409.46338989772977,438.2530498672064,446.3488319645213,True,True,True,False,False,0.1603311695528873,-0.1603311695528873,3.27455919395466
level,firesideelementaryschool,2023,jan2024,2025,2,406.0,394.75186648256044,331.3156166259167,346.59401696653657,374.3675508692619,415.4579230231187,439.8957341372787,455.68030223966434,True,True,True,False,False,2.7704762358225508,-2.7704762358225508,5.665024630541872
level,flatironselementaryschool,2023,jan2024,2024,1,163.0,168.4594325257028,143.51655968445917,144.87792978917224,163.06543477791638,171.14624626146957,193.09828386024463,194.4044887778379,False,True,True,False,False,3.3493451077931256,3.3493451077931256,0.6134969325153374
level,flatironselementaryschool,2023,jan2024,2025,2,151.0,166.65400470372094,139.56448251915452,143.2486163166714,160.45251988387935,179.25154222230245,191.9360939094558,199.64817335155902,False,True,True,False,False,10.366890532265526,10.366890532265526,5.298013245033113
level,foothillelementaryschool,2023,jan2024,2024,1,418.0,442.0105283163013,396.04302574538497,400.9076869808307,411.8327042998269,453.56326220689255,457.58788285177525,461.1566625465829,True,True,True,False,False,5.744145530215624,5.744145530215624,0.9569377990430622
level,foothillelementaryschool,2023,jan2024,2025,2,434.0,441.4320573187612,379.64590894311146,399.9790487427698,422.98775396266166,469.2730349174632,485.88531799727485,496.38248310773474,True,True,True,False,False,1.7124556034012037,1.7124556034012037,3.456221198156682
level,heatherwoodelementaryschool,2023,jan2024,2024,1,233.0,226.82555156036182,197.0845613535555,205.4932360007266,215.38069066614315,233.1486487036335,239.78133727456543,243.86775828156385,True,True,True,False,False,2.6499778710893493,-2.6499778710893493,2.575107296137339
level,heatherwoodelementaryschool,2023,jan2024,2025,2,225.0,212.73924164489534,180.22476333464937,190.41224440138618,200.63962804447286,225.0443533027034,235.91245230618074,247.05547251166993,True,True,True,False,False,5.449225935602069,-5.449225935602069,3.555555555555556
level,kohlelementaryschool,2023,jan2024,2024,1,254.0,242.01626065715533,216.9089118322697,223.11472804873608,235.8578162693801,247.2015586674989,251.74865851157034,256.43781204538107,False,False,True,True,False,4.718007615293178,-4.718007615293178,6.299212598425197
level,kohlelementaryschool,2023,jan2024,2025,2,256.0,233.36788985275933,204.380848084661,213.76927217695192,223.76926385710672,243.0191939084995,250.5264689722677,258.0496134915075,False,False,True,True,False,8.840668026265885,-8.840668026265885,8.59375
level,lafayetteelementaryschool,2023,jan2024,2024,1,465.0,458.31404773567215,333.8300054617759,340.1197660421433,411.36256150470587,486.90279652184165,492.35738916850596,496.69523990010566,True,True,True,False,False,1.4378391966296458,-1.4378391966296458,0.4301075268817204
level,lafayetteelementaryschool,2023,jan2024,2025,2,450.0,438.0534214052009,301.20098242126744,342.7087825597224,382.2240024956999,487.1953057537213,515.0570013393107,531.5568580980822,True,True,True,False,False,2.6547952432886937,-2.6547952432886937,0.6666666666666666
level,louisvilleelementaryschool,2023,jan2024,2024,1,417.0,412.9646542080386,358.5883902562248,362.41010956416005,407.0083824396968,435.4060919739813,443.5692368111644,448.9194056668272,True,True,True,False,False,0.9677088230123237,-0.9677088230123237,2.158273381294964
level,louisvilleelementaryschool,2023,jan2024,2025,2,382.0,404.19788726629736,344.2495985834942,350.9630584855721,386.79557985616356,425.306523812721,441.4444252426194,464.3893899056327,False,True,True,False,False,5.810965252957423,5.810965252957423,2.8795811518324608
level,mesaelementaryschool,2023,jan2024,2024,1,230.0,220.7869513124086,207.11033365095705,212.0192240360234,216.20979772412397,226.57618548657632,239.03245537676094,244.6703581444381,False,True,True,False,False,4.005673342431042,-4.005673342431042,4.3478260869565215
