png,y,x,conf,text
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,411,221,0.998,Mesa
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,433,1762,0.97,OE-Infrom differentschool
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,457,142,1.0,Heatherwood
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,478,1760,0.954,Out of District enrollment
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,500,185,0.999,Horizons
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,548,214,0.998,BCSIS
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,592,198,0.964,Whittier
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,597,1707,0.991,Takeaway
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,639,162,0.999,Eisenhower
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,679,1760,0.98,14 of 15 non-charter
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,682,182,1.0,Douglass
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,724,1763,0.96,elementary schools have
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,727,162,0.999,High Peaks
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,762,1758,0.981,"available capacity,"
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,773,177,0.999,Creekside
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,804,1759,0.991,demonstrating the region
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,821,169,0.999,BearCreek
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,844,1758,0.972,has more elementary
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,865,170,0.999,Columbine
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,887,1759,0.983,capacity than its
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,912,171,0.997,CrestView
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,926,1759,0.991,projected enrollment and
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,955,198,0.998,Uni-Hill
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,969,1758,0.997,resident student
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,1002,201,1.0,Foothill
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,1012,1759,0.976,population require.
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,1065,708,0.955,Number of Enrolled Students
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,1141,77,0.996,BVSD
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,1147,2083,1.0,45
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,55,60,0.981,ResilientSchoolsProposal|Boulder
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,107,65,0.96,ConsolidateMesa and Bear Creek
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,248,837,0.992,Enrollment&Utilization
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,338,1513,0.999,Projected*
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,344,476,0.999,Current
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,608,1455,0.982,Consolidated School
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,634,766,0.999,Mesa
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,638,213,0.962,Bear Creek
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,650,1554,0.994,Capacity: 492
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,682,732,0.993,Capacity: 418
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,683,225,0.992,Capacity: 492
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,720,1521,0.996,2027-28Projected
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,754,255,1.0,2025-26
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,754,763,1.0,2025-26
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,756,1493,0.999,ResidentStudents:473
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,790,1449,0.975,EnrolledStudents:392to445
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,793,162,0.999,ResidentStudents:275
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,794,670,0.998,ResidentStudents:228
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,828,1495,0.978,Utilization:80%to90%
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,830,167,0.977,Enrolled Students:312
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,830,674,0.992,EnrolledStudents:224
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,864,212,0.972,Utilization: 63%
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,864,720,0.97,Utilization: 54%
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,893,1520,0.997,2030-31Projected
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,931,1493,0.999,ResidentStudents:522
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,965,1451,0.996,EnrolledStudents:403to462
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,1002,1496,0.955,Utilization:82%to94%
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p51.png,1067,388,0.988,*Projected enrollment ranges dependent on number of resident students from the sending school attending the receiving school.
