school,target_fall,from_vintage,to_vintage,horizon_at_first,first,revised,revision,pct_revision,mountain,abs_pct_revision
Pioneer Elementary School,2028,jan2024,jan2025,5,401.0,388.0,-13.0,-3.2418952618453867,False,3.2418952618453867
Ryan Elementary School,2025,jan2024,jan2025,2,416.0,406.0,-10.0,-2.4038461538461537,False,2.4038461538461537
Ryan Elementary School,2026,jan2024,jan2025,3,418.0,424.0,6.0,1.4354066985645932,False,1.4354066985645932
Ryan Elementary School,2027,jan2024,jan2025,4,421.0,416.0,-5.0,-1.187648456057007,False,1.187648456057007
Ryan Elementary School,2028,jan2024,jan2025,5,421.0,417.0,-4.0,-0.9501187648456056,False,0.9501187648456056
Alicia Sanchez Elementary School,2025,jan2024,jan2025,2,318.0,306.0,-12.0,-3.7735849056603774,False,3.7735849056603774
Alicia Sanchez Elementary School,2026,jan2024,jan2025,3,335.0,323.0,-12.0,-3.582089552238806,False,3.582089552238806
Alicia Sanchez Elementary School,2027,jan2024,jan2025,4,334.0,323.0,-11.0,-3.2934131736526946,False,3.2934131736526946
Alicia Sanchez Elementary School,2028,jan2024,jan2025,5,334.0,322.0,-12.0,-3.592814371257485,False,3.592814371257485
Superior Elementary School,2025,jan2024,jan2025,2,437.0,419.0,-18.0,-4.118993135011442,False,4.118993135011442
Superior Elementary School,2026,jan2024,jan2025,3,428.0,399.0,-29.0,-6.775700934579439,False,6.775700934579439
Superior Elementary School,2027,jan2024,jan2025,4,457.0,397.0,-60.0,-13.12910284463895,False,13.12910284463895
Superior Elementary School,2028,jan2024,jan2025,5,432.0,402.0,-30.0,-6.944444444444445,False,6.944444444444445
Whittier International Elementary,2025,jan2024,jan2025,2,250.0,252.0,2.0,0.8,False,0.8
Whittier International Elementary,2026,jan2024,jan2025,3,240.0,240.0,0.0,0.0,False,0.0
Whittier International Elementary,2027,jan2024,jan2025,4,236.0,241.0,5.0,2.1186440677966103,False,2.1186440677966103
Whittier International Elementary,2028,jan2024,jan2025,5,229.0,229.0,0.0,0.0,False,0.0
Aspen Creek K-8,2026,jan2025,jan2026,2,467.0,490.0,23.0,4.925053533190578,False,4.925053533190578
