school,capacity,school_year,projected_enrollment,data_type,vintage,_source,_source_line
Eldorado PK-8,568,2027-28,247,projection,feb2026,data/raw/enrollmentdata/maps/index.html,933
Eldorado PK-8,568,2028-29,248,projection,feb2026,data/raw/enrollmentdata/maps/index.html,933
Eldorado PK-8,568,2029-30,250,projection,feb2026,data/raw/enrollmentdata/maps/index.html,933
Eldorado PK-8,568,2030-31,249,projection,feb2026,data/raw/enrollmentdata/maps/index.html,933
Monarch PK-8,381,2026-27,270,projection,feb2026,data/raw/enrollmentdata/maps/index.html,934
Monarch PK-8,381,2027-28,258,projection,feb2026,data/raw/enrollmentdata/maps/index.html,934
Monarch PK-8,381,2028-29,258,projection,feb2026,data/raw/enrollmentdata/maps/index.html,934
Monarch PK-8,381,2029-30,274,projection,feb2026,data/raw/enrollmentdata/maps/index.html,934
Monarch PK-8,381,2030-31,264,projection,feb2026,data/raw/enrollmentdata/maps/index.html,934
Aspen Creek K-8,440,2026-27,490,projection,feb2026,data/raw/enrollmentdata/maps/index.html,935
Aspen Creek K-8,440,2027-28,503,projection,feb2026,data/raw/enrollmentdata/maps/index.html,935
Aspen Creek K-8,440,2028-29,510,projection,feb2026,data/raw/enrollmentdata/maps/index.html,935
Aspen Creek K-8,440,2029-30,511,projection,feb2026,data/raw/enrollmentdata/maps/index.html,935
Aspen Creek K-8,440,2030-31,504,projection,feb2026,data/raw/enrollmentdata/maps/index.html,935
Meadowlark PK-8,441,2026-27,479,projection,feb2026,data/raw/enrollmentdata/maps/index.html,936
Meadowlark PK-8,441,2027-28,511,projection,feb2026,data/raw/enrollmentdata/maps/index.html,936
Meadowlark PK-8,441,2028-29,544,projection,feb2026,data/raw/enrollmentdata/maps/index.html,936
Meadowlark PK-8,441,2029-30,577,projection,feb2026,data/raw/enrollmentdata/maps/index.html,936
Meadowlark PK-8,441,2030-31,605,projection,feb2026,data/raw/enrollmentdata/maps/index.html,936
Community Montessori,369,2026-27,175,projection,feb2026,data/raw/enrollmentdata/maps/index.html,937
Community Montessori,369,2027-28,172,projection,feb2026,data/raw/enrollmentdata/maps/index.html,937
Community Montessori,369,2028-29,163,projection,feb2026,data/raw/enrollmentdata/maps/index.html,937
Community Montessori,369,2029-30,167,projection,feb2026,data/raw/enrollmentdata/maps/index.html,937
Community Montessori,369,2030-31,167,projection,feb2026,data/raw/enrollmentdata/maps/index.html,937
