school_as_printed,school_year,headcount_prior_year_as_printed,funded_headcount,funded_fte,_source,_page,PK,K,G1,G2,G3,G4,G5,grade_sum_K5,grade_check
Aspen Creek K-8 (K-5),2014-15,493,524,478.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,25.0,68.0,66.0,76.0,96.0,82.0,111.0,499.0,True
Bear Creek Elementary,2014-15,414,417,386.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,58.0,78.0,65.0,86.0,75.0,55.0,417.0,True
Birch Elementary,2014-15,359,383,359.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,44.0,63.0,57.0,42.0,54.0,57.0,66.0,339.0,True
BCSIS,2014-15,294,307,281.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,48.0,50.0,52.0,54.0,51.0,52.0,307.0,True
Boulder Explore,2014-15,24,26,13.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,2.0,5.0,3.0,5.0,10.0,1.0,26.0,True
Boulder Universal,2014-15,0,4,4.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,True
Coal Creek Elementary School,2014-15,431,427,398.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,56.0,63.0,71.0,73.0,89.0,75.0,427.0,True
Columbine Elementary School,2014-15,480,496,436.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,42.0,73.0,101.0,71.0,73.0,74.0,62.0,454.0,True
Creekside Elementary at Martin Park,2014-15,340,333,287.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,39.0,48.0,49.0,55.0,47.0,54.0,41.0,294.0,True
Crest View Elementary,2014-15,607,586,544.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,82.0,81.0,104.0,93.0,117.0,109.0,586.0,True
Douglass Elementary School,2014-15,478,463,429.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,9.0,59.0,78.0,85.0,73.0,77.0,82.0,454.0,True
Eisenhower Elementary School,2014-15,404,405,377.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,52.0,77.0,46.0,78.0,80.0,72.0,405.0,True
Eldorado K-8 (K-5),2014-15,537,536,508.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,56.0,86.0,91.0,111.0,86.0,106.0,536.0,True
Emerald Elementary School,2014-15,335,376,318.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,43.0,75.0,74.0,49.0,46.0,45.0,44.0,333.0,True
Fireside Elementary School,2014-15,456,458,414.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,23.0,65.0,72.0,63.0,81.0,73.0,81.0,435.0,True
Flatirons Elementary School,2014-15,307,290,273.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,31.0,46.0,49.0,56.0,53.0,55.0,290.0,True
Foothill Elementary School,2014-15,574,545,506.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,75.0,82.0,91.0,108.0,78.0,111.0,545.0,True
Gold Hill Elementary School,2014-15,23,27,25.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,4.0,2.0,8.0,3.0,5.0,5.0,27.0,True
Heatherwood Elementary School,2014-15,390,384,347.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,12.0,60.0,51.0,69.0,62.0,62.0,68.0,372.0,True
High Peaks Elementary,2014-15,297,297,272.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,12.0,39.0,47.0,49.0,52.0,47.0,51.0,285.0,True
Horizons K-8 School (K-5),2014-15,230,231,214.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,35.0,38.0,39.0,37.0,43.0,39.0,231.0,True
Jamestown Elementary School,2014-15,21,15,13.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,2.0,1.0,4.0,4.0,1.0,3.0,15.0,True
Kohl Elementary School,2014-15,485,487,442.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,20.0,70.0,86.0,75.0,81.0,84.0,71.0,467.0,True
Lafayette Elementary School,2014-15,583,590,529.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,22.0,101.0,82.0,100.0,97.0,85.0,103.0,568.0,True
Louisville Elementary School,2014-15,600,584,541.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,82.0,101.0,106.0,104.0,90.0,101.0,584.0,True
Mapleton Early Childhood Center,2014-15,41,70,40.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Mesa Elementary School,2014-15,341,330,306.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,47.0,43.0,56.0,53.0,75.0,56.0,330.0,True
Monarch K-8 School (K-5),2014-15,411,417,369.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,28.0,65.0,55.0,67.0,54.0,62.0,86.0,389.0,True
Community Montessori,2014-15,255,270,245.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,1.0,48.0,47.0,45.0,46.0,44.0,39.0,269.0,True
Nederland Elementary School,2014-15,282,285,256.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,20.0,38.0,39.0,47.0,51.0,46.0,44.0,265.0,True
Peak to Peak K-12 Charter (K-5),2014-15,447,456,420.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,72.0,73.0,75.0,78.0,78.0,80.0,456.0,True
Pioneer Elementary School,2014-15,448,473,416.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,32.0,84.0,80.0,78.0,62.0,75.0,62.0,441.0,True
Ryan Elementary School,2014-15,408,410,372.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,20.0,56.0,60.0,76.0,67.0,60.0,71.0,390.0,True
Alicia Sanchez Elementary School,2014-15,321,359,309.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,48.0,54.0,57.0,56.0,51.0,48.0,45.0,311.0,True
Superior Elementary School,2014-15,556,505,476.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,57.0,81.0,86.0,91.0,93.0,97.0,505.0,True
University Hill Elementary School,2014-15,419,427,375.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,31.0,72.0,81.0,62.0,66.0,55.0,60.0,396.0,True
Whittier International Elementary School,2014-15,389,396,359.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,72.0,68.0,72.0,71.0,51.0,62.0,396.0,True
Aspen Creek K-8 (K-5),2015-16,524,496,458.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,22.0,55.0,77.0,69.0,78.0,110.0,85.0,474.0,True
Bear Creek Elementary,2015-16,417,441,407.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,0.0,68.0,61.0,83.0,67.0,85.0,77.0,441.0,True
Birch Elementary,2015-16,383,407,381.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,43.0,65.0,68.0,65.0,52.0,57.0,57.0,364.0,True
BCSIS,2015-16,307,301,276.5,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,0.0,46.0,48.0,49.0,51.0,56.0,51.0,301.0,True
Boulder Explore (K-5),2015-16,26,20,10.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,0.0,4.0,4.0,3.0,4.0,0.0,5.0,20.0,True
Boulder Universal (K-5),2015-16,4,4,3.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,True
Coal Creek Elementary School,2015-16,427,426,397.5,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,0.0,57.0,64.0,63.0,77.0,72.0,93.0,426.0,True
Columbine Elementary School,2015-16,496,531,460.5,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,49.0,89.0,73.0,96.0,72.0,80.0,72.0,482.0,True
Creekside Elementary at Martin Park,2015-16,333,332,283.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,43.0,52.0,40.0,45.0,48.0,48.0,56.0,289.0,True
Crest View Elementary,2015-16,586,580,539.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,0.0,82.0,86.0,84.0,109.0,98.0,121.0,580.0,True
Douglass Elementary School,2015-16,463,473,438.5,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,12.0,57.0,76.0,78.0,94.0,78.0,78.0,461.0,True
Eisenhower Elementary School,2015-16,405,398,369.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,0.0,53.0,59.0,73.0,52.0,80.0,81.0,398.0,True
Eldorado K-8 (K-5),2015-16,536,489,463.5,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,0.0,49.0,70.0,82.0,91.0,109.0,88.0,489.0,True
Emerald Elementary School,2015-16,376,380,328.5,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,47.0,59.0,67.0,69.0,50.0,51.0,37.0,333.0,True
Fireside Elementary School,2015-16,458,453,403.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,27.0,73.0,75.0,64.0,65.0,85.0,64.0,426.0,True
Flatirons Elementary School,2015-16,290,274,257.5,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,0.0,33.0,32.0,45.0,54.0,55.0,55.0,274.0,True
Foothill Elementary School,2015-16,545,547,503.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,0.0,85.0,80.0,95.0,89.0,120.0,78.0,547.0,True
Gold Hill Elementary School,2015-16,27,26,23.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,0.0,6.0,4.0,1.0,7.0,4.0,4.0,26.0,True
Heatherwood Elementary School,2015-16,384,385,348.5,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,15.0,56.0,64.0,60.0,69.0,57.0,64.0,370.0,True
High Peaks Elementary,2015-16,297,314,284.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,17.0,41.0,48.0,52.0,52.0,53.0,51.0,297.0,True
Horizons K-8 School (K-5),2015-16,231,237,219.5,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,0.0,37.0,38.0,38.0,38.0,41.0,45.0,237.0,True
Jamestown Elementary School,2015-16,15,18,15.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,0.0,5.0,3.0,1.0,4.0,4.0,1.0,18.0,True
Kohl Elementary School,2015-16,487,481,439.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,21.0,63.0,80.0,82.0,77.0,76.0,82.0,460.0,True
Lafayette Elementary School,2015-16,590,592,539.5,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,18.0,87.0,106.0,92.0,105.0,97.0,87.0,574.0,True
Louisville Elementary School,2015-16,584,582,538.5,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,0.0,84.0,90.0,105.0,105.0,102.0,96.0,582.0,True
Mapleton Early Childhood Center,2015-16,70,70,40.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Mesa Elementary School,2015-16,330,320,301.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,0.0,37.0,47.0,50.0,55.0,52.0,79.0,320.0,True
Monarch K-8 School (K-5),2015-16,417,419,379.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,32.0,49.0,73.0,68.0,72.0,57.0,68.0,387.0,True
Community Montessori,2015-16,270,262,240.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,0.0,44.0,46.0,44.0,46.0,40.0,42.0,262.0,True
Nederland Elementary School,2015-16,285,276,247.5,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,19.0,39.0,45.0,36.0,47.0,47.0,43.0,257.0,True
Peak to Peak K-12 Charter (K-5),2015-16,456,457,420.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,0.0,72.0,74.0,75.0,78.0,78.0,80.0,457.0,True
Pioneer Elementary School,2015-16,473,480,427.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,23.0,84.0,84.0,78.0,75.0,61.0,75.0,457.0,True
Ryan Elementary School,2015-16,410,417,379.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,21.0,59.0,67.0,65.0,71.0,77.0,57.0,396.0,True
Alicia Sanchez Elementary School,2015-16,359,379,322.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,58.0,55.0,54.0,60.0,54.0,52.0,46.0,321.0,True
Superior Elementary School,2015-16,505,486,452.5,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,0.0,67.0,70.0,86.0,80.0,85.0,98.0,486.0,True
University Hill Elementary School,2015-16,427,436,382.0,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,31.0,78.0,69.0,82.0,60.0,63.0,53.0,405.0,True
Whittier International Elementary School,2015-16,396,415,376.5,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,0.0,74.0,78.0,70.0,70.0,66.0,57.0,415.0,True
Aspen Creek K-8 (K-5),2016-17,496,496,455.0,data/raw/bvsd/pupil_count/2016-17_cde_headcount_summary.pdf,1,23.0,62.0,67.0,74.0,80.0,79.0,111.0,473.0,True
Bear Creek Elementary,2016-17,441,438,407.5,data/raw/bvsd/pupil_count/2016-17_cde_headcount_summary.pdf,1,0.0,60.0,66.0,66.0,89.0,70.0,87.0,438.0,True
BCSIS,2016-17,301,309,284.0,data/raw/bvsd/pupil_count/2016-17_cde_headcount_summary.pdf,1,0.0,46.0,50.0,52.0,50.0,56.0,55.0,309.0,True
Boulder Explore (K-5),2016-17,20,11,5.5,data/raw/bvsd/pupil_count/2016-17_cde_headcount_summary.pdf,1,0.0,2.0,2.0,3.0,1.0,3.0,0.0,11.0,True
Boulder Universal (K-5),2016-17,4,7,4.0,data/raw/bvsd/pupil_count/2016-17_cde_headcount_summary.pdf,1,0.0,0.0,3.0,0.0,0.0,1.0,3.0,7.0,True
Coal Creek Elementary School,2016-17,426,417,385.5,data/raw/bvsd/pupil_count/2016-17_cde_headcount_summary.pdf,1,0.0,62.0,68.0,75.0,64.0,75.0,73.0,417.0,True
Columbine Elementary School,2016-17,531,536,469.0,data/raw/bvsd/pupil_count/2016-17_cde_headcount_summary.pdf,1,50.0,82.0,83.0,73.0,91.0,74.0,83.0,486.0,True
Creekside Elementary at Martin Park,2016-17,332,319,275.5,data/raw/bvsd/pupil_count/2016-17_cde_headcount_summary.pdf,1,38.0,49.0,46.0,41.0,44.0,55.0,46.0,281.0,True
Crest View Elementary,2016-17,580,606,559.0,data/raw/bvsd/pupil_count/2016-17_cde_headcount_summary.pdf,1,0.0,95.0,96.0,97.0,99.0,111.0,108.0,606.0,True
Douglass Elementary School,2016-17,473,448,420.0,data/raw/bvsd/pupil_count/2016-17_cde_headcount_summary.pdf,1,14.0,43.0,70.0,73.0,81.0,92.0,75.0,434.0,True
Eisenhower Elementary School,2016-17,398,418,385.0,data/raw/bvsd/pupil_count/2016-17_cde_headcount_summary.pdf,1,0.0,66.0,70.0,64.0,82.0,57.0,79.0,418.0,True
Eldorado K-8 (K-5),2016-17,489,450,428.0,data/raw/bvsd/pupil_count/2016-17_cde_headcount_summary.pdf,1,0.0,43.0,68.0,71.0,78.0,85.0,105.0,450.0,True
Emerald Elementary School,2016-17,380,388,337.5,data/raw/bvsd/pupil_count/2016-17_cde_headcount_summary.pdf,1,44.0,59.0,57.0,62.0,68.0,49.0,49.0,344.0,True
Fireside Elementary School,2016-17,453,469,418.0,data/raw/bvsd/pupil_count/2016-17_cde_headcount_summary.pdf,1,27.0,77.0,72.0,75.0,68.0,68.0,82.0,442.0,True
