vintage,school,ocr_label,base_year,capacity,enroll_base,official_base,ocr_check,enroll_exact,min_conf,n_ints,proj_2024-25,proj_2025-26,proj_2026-27,proj_2027-28,proj_2028-29,proj_2029-30,proj_2030-31,verified_visually
feb2026,Eldorado K-8,Eldorado,2025-26,568.0,252.0,252,True,True,0.86,20,,,253.0,247.0,248.0,250.0,249.0,False
feb2026,Emerald Elementary School,Emerald,2025-26,393.0,365.0,365,True,True,0.93,20,,,355.0,341.0,337.0,346.0,345.0,False
feb2026,Fireside Elementary School,Fireside,2025-26,516.0,405.0,406,True,False,0.92,20,,,385.0,373.0,358.0,355.0,359.0,False
feb2026,Flatirons Elementary School,Flatirons,2025-26,320.0,151.0,151,True,True,0.95,20,,,147.0,154.0,149.0,146.0,157.0,False
feb2026,Foothill Elementary School,Foothill,2025-26,565.0,434.0,434,True,True,0.99,20,,,437.0,444.0,439.0,432.0,438.0,False
feb2026,Gold Hill Elementary School,GoldHill,2025-26,49.0,11.0,11,True,True,0.95,20,,,13.0,13.0,13.0,12.0,12.0,False
feb2026,Heatherwood Elementary School,Heatherwood,2025-26,492.0,225.0,225,True,True,0.84,20,,,216.0,209.0,214.0,203.0,210.0,False
feb2026,Jamestown Elementary School,Jamestown,2025-26,25.0,17.0,17,True,True,0.83,20,,,19.0,17.0,16.0,16.0,14.0,False
feb2026,Kohl Elementary School,Kohl,2025-26,541.0,256.0,256,True,True,0.85,20,,,258.0,258.0,256.0,262.0,266.0,False
feb2026,Lafayette Elementary School,Lafayette,2025-26,565.0,450.0,450,True,True,0.86,20,,,454.0,435.0,420.0,411.0,392.0,False
feb2026,Louisville Elementary School,Louisville,2025-26,590.0,382.0,382,True,True,0.84,20,,,373.0,363.0,360.0,355.0,343.0,False
feb2026,Meadowlark School,Meadowlark,2025-26,441.0,471.0,471,True,True,0.93,20,,,479.0,511.0,544.0,577.0,605.0,False
feb2026,Mesa Elementary School,Mesa,2025-26,418.0,224.0,224,True,True,0.87,20,,,217.0,203.0,203.0,202.0,201.0,True
feb2026,Monarch K-8 School,Monarch,2025-26,381.0,264.0,264,True,True,0.93,20,,,270.0,258.0,258.0,274.0,284.0,False
feb2026,Nederland Elementary School,Nederland,2025-26,467.0,166.0,166,True,True,0.85,20,,,171.0,166.0,167.0,169.0,160.0,False
feb2026,Pioneer Elementary School,Pioneer,2025-26,541.0,371.0,371,True,True,0.92,20,,,349.0,341.0,337.0,336.0,343.0,False
feb2026,Ryan Elementary School,Ryan,2025-26,467.0,393.0,393,True,True,0.9,20,,,381.0,365.0,348.0,337.0,346.0,False
feb2026,Alicia Sanchez Elementary School,Sanchez,2025-26,418.0,276.0,276,True,True,0.99,20,,,286.0,284.0,278.0,289.0,298.0,False
feb2026,Superior Elementary School,Superior,2025-26,467.0,433.0,433,True,True,0.86,20,,,425.0,430.0,434.0,420.0,433.0,False
feb2026,University Hill Elementary School,UniversityHill,2025-26,590.0,368.0,368,True,True,0.9,20,,,359.0,348.0,336.0,338.0,345.0,False
feb2026,Whittier International Elementary,Whittier,2025-26,442.0,257.0,257,True,True,0.89,20,,,258.0,256.0,247.0,236.0,232.0,False
