fiscal_year,entity,measure,value_usd,source_file,sheet,note
FY2024,Mesa Elementary School (5838),total_fund22_all_objects,151884.58,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Mesa Elementary School (5838),total_fund23_all_objects,137987.24,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Mesa Elementary School (5838),total_fund41_all_objects,32994.96,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Mesa Elementary School (5838),total_fund43_all_objects,3129.18,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Bear Creek Elementary School (0652),expenditures_all_funds_obj0100-0999,4490803.17,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Bear Creek Elementary School (0652),expenditures_fund10_obj0100-0999,3980661.74,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Bear Creek Elementary School (0652),fund10_benefits_obj02xx,955180.00,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Bear Creek Elementary School (0652),fund10_prog0010_general_elementary_education,2138881.66,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Bear Creek Elementary School (0652),fund10_prog1700_special_education,271662.22,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Bear Creek Elementary School (0652),fund10_prog2400-2410_school_administration,357679.14,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Bear Creek Elementary School (0652),fund10_prog2600s_operations_maintenance,301441.45,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Bear Creek Elementary School (0652),fund10_salaries_obj01xx,2827835.54,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Bear Creek Elementary School (0652),total_fund06_all_objects,78.13,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Bear Creek Elementary School (0652),total_fund10_all_objects,3980661.74,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Bear Creek Elementary School (0652),total_fund12_all_objects,3597.80,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Bear Creek Elementary School (0652),total_fund13_all_objects,136323.94,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Bear Creek Elementary School (0652),total_fund19_all_objects,2.15,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Bear Creek Elementary School (0652),total_fund21_all_objects,126713.78,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Bear Creek Elementary School (0652),total_fund22_all_objects,50934.32,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Bear Creek Elementary School (0652),total_fund23_all_objects,171688.63,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Bear Creek Elementary School (0652),total_fund41_all_objects,7845.60,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Bear Creek Elementary School (0652),total_fund43_all_objects,12957.08,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,DISTRICT all locations,expenditures_all_funds_obj0100-0999,743384406.55,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,DISTRICT all locations,expenditures_fund10_obj0100-0999,371179981.00,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,DISTRICT all locations,fund10_benefits_obj02xx,91370976.84,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,DISTRICT all locations,fund10_salaries_obj01xx,268528029.06,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Flatirons Elementary School (2970),expenditures_all_funds_obj0100-0999,3017643.54,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Flatirons Elementary School (2970),expenditures_fund10_obj0100-0999,2413947.09,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Flatirons Elementary School (2970),fund10_benefits_obj02xx,582361.15,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Flatirons Elementary School (2970),fund10_prog0010_general_elementary_education,1176382.25,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Flatirons Elementary School (2970),fund10_prog1700_special_education,212597.36,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Flatirons Elementary School (2970),fund10_prog2400-2410_school_administration,306019.25,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Flatirons Elementary School (2970),fund10_prog2600s_operations_maintenance,255526.56,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Flatirons Elementary School (2970),fund10_salaries_obj01xx,1697099.85,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Flatirons Elementary School (2970),total_fund06_all_objects,411.28,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Flatirons Elementary School (2970),total_fund10_all_objects,2413947.09,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Flatirons Elementary School (2970),total_fund12_all_objects,669.45,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
