school,level,october_year,enrollment,data_type,_source,_source_line
Fireside Elementary,elementary,2016,471,actual,data/raw/enrollmentdata/maps/index.html,782
Fireside Elementary,elementary,2017,462,actual,data/raw/enrollmentdata/maps/index.html,782
Fireside Elementary,elementary,2018,432,actual,data/raw/enrollmentdata/maps/index.html,782
Fireside Elementary,elementary,2019,434,actual,data/raw/enrollmentdata/maps/index.html,782
Fireside Elementary,elementary,2020,377,actual,data/raw/enrollmentdata/maps/index.html,782
Fireside Elementary,elementary,2021,389,actual,data/raw/enrollmentdata/maps/index.html,782
Fireside Elementary,elementary,2022,394,actual,data/raw/enrollmentdata/maps/index.html,782
Fireside Elementary,elementary,2023,389,actual,data/raw/enrollmentdata/maps/index.html,782
Fireside Elementary,elementary,2024,399,actual,data/raw/enrollmentdata/maps/index.html,782
Fireside Elementary,elementary,2025,407,actual,data/raw/enrollmentdata/maps/index.html,782
Foothill Elementary,elementary,2014,537,actual,data/raw/enrollmentdata/maps/index.html,784
Foothill Elementary,elementary,2015,547,actual,data/raw/enrollmentdata/maps/index.html,784
Foothill Elementary,elementary,2016,544,actual,data/raw/enrollmentdata/maps/index.html,784
Foothill Elementary,elementary,2017,529,actual,data/raw/enrollmentdata/maps/index.html,784
Foothill Elementary,elementary,2018,509,actual,data/raw/enrollmentdata/maps/index.html,784
Foothill Elementary,elementary,2019,493,actual,data/raw/enrollmentdata/maps/index.html,784
Foothill Elementary,elementary,2020,406,actual,data/raw/enrollmentdata/maps/index.html,784
Foothill Elementary,elementary,2021,426,actual,data/raw/enrollmentdata/maps/index.html,784
Foothill Elementary,elementary,2022,435,actual,data/raw/enrollmentdata/maps/index.html,784
Foothill Elementary,elementary,2023,427,actual,data/raw/enrollmentdata/maps/index.html,784
Foothill Elementary,elementary,2024,431,actual,data/raw/enrollmentdata/maps/index.html,784
Foothill Elementary,elementary,2025,434,actual,data/raw/enrollmentdata/maps/index.html,784
High Peaks Elementary,elementary,2014,303,actual,data/raw/enrollmentdata/maps/index.html,786
High Peaks Elementary,elementary,2015,314,actual,data/raw/enrollmentdata/maps/index.html,786
High Peaks Elementary,elementary,2016,310,actual,data/raw/enrollmentdata/maps/index.html,786
High Peaks Elementary,elementary,2017,306,actual,data/raw/enrollmentdata/maps/index.html,786
High Peaks Elementary,elementary,2018,303,actual,data/raw/enrollmentdata/maps/index.html,786
High Peaks Elementary,elementary,2019,298,actual,data/raw/enrollmentdata/maps/index.html,786
High Peaks Elementary,elementary,2020,283,actual,data/raw/enrollmentdata/maps/index.html,786
High Peaks Elementary,elementary,2021,287,actual,data/raw/enrollmentdata/maps/index.html,786
High Peaks Elementary,elementary,2022,290,actual,data/raw/enrollmentdata/maps/index.html,786
High Peaks Elementary,elementary,2023,282,actual,data/raw/enrollmentdata/maps/index.html,786
High Peaks Elementary,elementary,2024,280,actual,data/raw/enrollmentdata/maps/index.html,786
High Peaks Elementary,elementary,2025,283,actual,data/raw/enrollmentdata/maps/index.html,786
Lafayette Elementary,elementary,2014,645,actual,data/raw/enrollmentdata/maps/index.html,788
Lafayette Elementary,elementary,2015,649,actual,data/raw/enrollmentdata/maps/index.html,788
Lafayette Elementary,elementary,2016,657,actual,data/raw/enrollmentdata/maps/index.html,788
Lafayette Elementary,elementary,2017,631,actual,data/raw/enrollmentdata/maps/index.html,788
Lafayette Elementary,elementary,2018,601,actual,data/raw/enrollmentdata/maps/index.html,788
Lafayette Elementary,elementary,2019,582,actual,data/raw/enrollmentdata/maps/index.html,788
Lafayette Elementary,elementary,2020,481,actual,data/raw/enrollmentdata/maps/index.html,788
Lafayette Elementary,elementary,2021,492,actual,data/raw/enrollmentdata/maps/index.html,788
Lafayette Elementary,elementary,2022,492,actual,data/raw/enrollmentdata/maps/index.html,788
Lafayette Elementary,elementary,2023,468,actual,data/raw/enrollmentdata/maps/index.html,788
Lafayette Elementary,elementary,2024,463,actual,data/raw/enrollmentdata/maps/index.html,788
Lafayette Elementary,elementary,2025,449,actual,data/raw/enrollmentdata/maps/index.html,788
Ryan Elementary,elementary,2014,496,actual,data/raw/enrollmentdata/maps/index.html,790
Ryan Elementary,elementary,2015,520,actual,data/raw/enrollmentdata/maps/index.html,790
Ryan Elementary,elementary,2016,543,actual,data/raw/enrollmentdata/maps/index.html,790
Ryan Elementary,elementary,2017,549,actual,data/raw/enrollmentdata/maps/index.html,790
Ryan Elementary,elementary,2018,543,actual,data/raw/enrollmentdata/maps/index.html,790
Ryan Elementary,elementary,2019,555,actual,data/raw/enrollmentdata/maps/index.html,790
Ryan Elementary,elementary,2020,446,actual,data/raw/enrollmentdata/maps/index.html,790
Ryan Elementary,elementary,2021,441,actual,data/raw/enrollmentdata/maps/index.html,790
Ryan Elementary,elementary,2022,430,actual,data/raw/enrollmentdata/maps/index.html,790
Ryan Elementary,elementary,2023,408,actual,data/raw/enrollmentdata/maps/index.html,790
Ryan Elementary,elementary,2024,396,actual,data/raw/enrollmentdata/maps/index.html,790
Ryan Elementary,elementary,2025,394,actual,data/raw/enrollmentdata/maps/index.html,790
Superior Elementary,elementary,2014,505,actual,data/raw/enrollmentdata/maps/index.html,792
Superior Elementary,elementary,2015,502,actual,data/raw/enrollmentdata/maps/index.html,792
Superior Elementary,elementary,2016,494,actual,data/raw/enrollmentdata/maps/index.html,792
Superior Elementary,elementary,2017,479,actual,data/raw/enrollmentdata/maps/index.html,792
Superior Elementary,elementary,2018,466,actual,data/raw/enrollmentdata/maps/index.html,792
Superior Elementary,elementary,2019,459,actual,data/raw/enrollmentdata/maps/index.html,792
Superior Elementary,elementary,2020,400,actual,data/raw/enrollmentdata/maps/index.html,792
Superior Elementary,elementary,2021,418,actual,data/raw/enrollmentdata/maps/index.html,792
Superior Elementary,elementary,2022,424,actual,data/raw/enrollmentdata/maps/index.html,792
Superior Elementary,elementary,2023,418,actual,data/raw/enrollmentdata/maps/index.html,792
Superior Elementary,elementary,2024,426,actual,data/raw/enrollmentdata/maps/index.html,792
Superior Elementary,elementary,2025,432,actual,data/raw/enrollmentdata/maps/index.html,792
Gold Hill Elementary,elementary,2014,27,actual,data/raw/enrollmentdata/maps/index.html,794
Gold Hill Elementary,elementary,2015,23,actual,data/raw/enrollmentdata/maps/index.html,794
Gold Hill Elementary,elementary,2016,21,actual,data/raw/enrollmentdata/maps/index.html,794
Gold Hill Elementary,elementary,2017,20,actual,data/raw/enrollmentdata/maps/index.html,794
Gold Hill Elementary,elementary,2018,19,actual,data/raw/enrollmentdata/maps/index.html,794
Gold Hill Elementary,elementary,2019,15,actual,data/raw/enrollmentdata/maps/index.html,794
Gold Hill Elementary,elementary,2020,13,actual,data/raw/enrollmentdata/maps/index.html,794
Gold Hill Elementary,elementary,2021,14,actual,data/raw/enrollmentdata/maps/index.html,794
Gold Hill Elementary,elementary,2022,12,actual,data/raw/enrollmentdata/maps/index.html,794
Gold Hill Elementary,elementary,2023,13,actual,data/raw/enrollmentdata/maps/index.html,794
Gold Hill Elementary,elementary,2024,12,actual,data/raw/enrollmentdata/maps/index.html,794
Gold Hill Elementary,elementary,2025,11,actual,data/raw/enrollmentdata/maps/index.html,794
Jamestown Elementary,elementary,2014,13,actual,data/raw/enrollmentdata/maps/index.html,796
Jamestown Elementary,elementary,2015,12,actual,data/raw/enrollmentdata/maps/index.html,796
Jamestown Elementary,elementary,2016,14,actual,data/raw/enrollmentdata/maps/index.html,796
Jamestown Elementary,elementary,2017,15,actual,data/raw/enrollmentdata/maps/index.html,796
Jamestown Elementary,elementary,2018,18,actual,data/raw/enrollmentdata/maps/index.html,796
Jamestown Elementary,elementary,2019,20,actual,data/raw/enrollmentdata/maps/index.html,796
Jamestown Elementary,elementary,2020,18,actual,data/raw/enrollmentdata/maps/index.html,796
Jamestown Elementary,elementary,2021,16,actual,data/raw/enrollmentdata/maps/index.html,796
Jamestown Elementary,elementary,2022,16,actual,data/raw/enrollmentdata/maps/index.html,796
Jamestown Elementary,elementary,2023,17,actual,data/raw/enrollmentdata/maps/index.html,796
Jamestown Elementary,elementary,2024,16,actual,data/raw/enrollmentdata/maps/index.html,796
Jamestown Elementary,elementary,2025,17,actual,data/raw/enrollmentdata/maps/index.html,796
Nederland Elementary,elementary,2014,285,actual,data/raw/enrollmentdata/maps/index.html,798
Nederland Elementary,elementary,2015,274,actual,data/raw/enrollmentdata/maps/index.html,798
Nederland Elementary,elementary,2016,253,actual,data/raw/enrollmentdata/maps/index.html,798
Nederland Elementary,elementary,2017,241,actual,data/raw/enrollmentdata/maps/index.html,798
Nederland Elementary,elementary,2018,226,actual,data/raw/enrollmentdata/maps/index.html,798
Nederland Elementary,elementary,2019,222,actual,data/raw/enrollmentdata/maps/index.html,798
