file,url,meeting_date,agenda_item_title,retrieved_utc,md5,pages,notes
staffing_bvea_mou_weighted_allocation_presentation_2019-05-14.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/BC3JC94C7E55/$file/BVEA%20MOU%20Weighted%20Allocation%20Presentation.pdf,2019-05-14,7.2 Weighted Student Staffing Allocations Memorandum of Understanding with BVEA,2026-09-04T02:45:33Z,260a7aa11151194f7e6ff271e0a9ca66,14,item BC2KUP4C79F9; original name: BVEA MOU Weighted Allocation Presentation.pdf
enrollment_update_02_enrollment_summary_bvsd_2019-12-10.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/BJHLFX55CF4A/$file/02%20Enrollment%20Summary%20BVSD%20(1).pdf,2019-12-10,6.4 Update of the October 2019 Enrollment Count and Analysis Trends,2026-09-04T02:43:57Z,459702b974dee28f3a0207620f1873b2,1,item BJHKY8541CCE; original name: 02 Enrollment Summary BVSD (1).pdf
enrollment_update_03_enrollment_by_school_2019-12-10.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/BJHLFZ55CF56/$file/03%20Enrollment%20by%20School.pdf,2019-12-10,6.4 Update of the October 2019 Enrollment Count and Analysis Trends,2026-09-04T02:43:59Z,c88a0292f478251bee003ed991dbff6b,3,item BJHKY8541CCE; original name: 03 Enrollment by School.pdf
enrollment_update_04_out_of_district_students_2019_2019-12-10.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/BJHLG355CF60/$file/04%20Out%20of%20District%20Students%202019.pdf,2019-12-10,6.4 Update of the October 2019 Enrollment Count and Analysis Trends,2026-09-04T02:44:02Z,069a055123d4f22139efefcce88fd393,1,item BJHKY8541CCE; original name: 04 Out of District Students 2019.pdf
enrollment_update_05_births_and_k_analysis_2019-12-10.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/BJHLG555CF6E/$file/05%20Births%20and%20K%20Analysis%20(1).pdf,2019-12-10,6.4 Update of the October 2019 Enrollment Count and Analysis Trends,2026-09-04T02:44:05Z,d98f9672db2e90d80804a80b0d6ce05d,1,item BJHKY8541CCE; original name: 05 Births and K Analysis (1).pdf
enrollment_update_06_compare_projection_to_head_count_2019-12-10.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/BJHLG755CF78/$file/06%20Compare%20Projection%20to%20Head%20Count%20(2).pdf,2019-12-10,6.4 Update of the October 2019 Enrollment Count and Analysis Trends,2026-09-04T02:44:08Z,354be6c2e98455f1708734cd8a6c71d6,2,item BJHKY8541CCE; original name: 06 Compare Projection to Head Count (2).pdf
enrollment_update_boe_12_10_19_enrollment_slides_2019-12-10.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/BJJP945FAA90/$file/BOE%2012-10-19%20Enrollment%20Slides.pdf,2019-12-10,6.4 Update of the October 2019 Enrollment Count and Analysis Trends,2026-09-04T02:44:11Z,23dbf56ba9e0fd460ffab57391f2746c,11,item BJHKY8541CCE; original name: BOE 12-10-19 Enrollment Slides.pdf
enrollment_update_2020-08-25.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/BSUJ3Q4B3952/$file/Enrollment%20Update%20-%2008-25-20.pdf,2020-08-25,6.3 Enrollment Update,2026-09-04T02:44:17Z,9efc9eaba8c5c46ae41173e4c60f2b35,10,item BSPFVP40FD2C; original name: Enrollment Update - 08-25-20.pdf
enrollment_update_8_21_20_count_trend_funnel_2020-08-25.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/BSTQZG67BDE0/$file/8-21-20%20Count%20Trend%20Funnel.pdf,2020-08-25,6.3 Enrollment Update,2026-09-04T02:44:15Z,3285add7a2487553682ae64b5259cc91,1,item BSPFVP40FD2C; original name: 8-21-20 Count Trend Funnel.pdf
enrollment_update_enrollment_2020_slides_2020-12-08.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/BVW2FV0206D7/$file/Enrollment%202020%20Slides.pdf,2020-12-08,6.3 October 2020 Enrollment Count and an Analysis of Trends Observed,2026-09-04T02:44:29Z,59f2f7bf155216fc5405696b439965e9,14,item BVVTPV775706; original name: Enrollment 2020 Slides.pdf
