P12_005NA,P12_009NA,P12_047NA,P12_019N,P12_007N,P12_028NA,P12_035N,P12_023N,P12_043NA,P12_047N,P12_024NA,P12_001NA,P12_011N,P12_020NA,P12_040N,P12_016NA,P12_008N,P12_039NA,P12_024N,P12_012N,P12_035NA,P12_036N,P12_048N,P12_012NA,P12_031NA,P12_006NA,P12_029NA,P12_009N,P12_025NA,P12_048NA,P12_049N,P12_013N,P12_021NA,P12_044NA,P12_001N,P12_037N,P12_025N,P12_002NA,P12_040NA,P12_041N,P12_017NA,P12_036NA,P12_038N,P12_002N,P12_032NA,P12_026N,P12_014N,P12_013NA,P12_030N,P12_042N,P12_003NA,P12_039N,P12_026NA,P12_027N,P12_007NA,P12_049NA,P12_022NA,P12_015N,P12_003N,P12_045NA,P12_031N,P12_043N,P12_041NA,NAME,P12_014NA,P12_028N,P12_016N,P12_037NA,P12_018NA,P12_033NA,P12_004N,P12_020N,P12_010NA,P12_032N,P12_044N,P12_004NA,P12_017N,P12_005N,P12_008NA,P12_027NA,P12_029N,P12_045N,P12_023NA,P12_046NA,P12_033N,P12_042NA,P12_021N,GEO_ID,P12_015NA,P12_006N,P12_019NA,P12_038NA,P12_018N,P12_034N,P12_046N,P12_034NA,P12_011NA,P12_022N,P12_030NA,P12_010N
,,,11,96,,31,11,,4,,,48,,13,,202,,2,31,,26,1,,,,,256,,,5,9,,,2028,6,5,,,4,,,13,1040,,988,21,,8,5,,5,,17,,,,8,18,,121,7,,Block Group 2; Census Tract 124.01; Boulder County; Colorado,,13,10,,,,21,1,,304,3,,10,9,,,13,4,,,237,,8,1500000US080130124012,,14,,,1,141,7,,,4,,244
,,,9,15,,10,13,,27,,,21,,27,,15,,8,10,,17,23,,,,,21,,,29,16,,,744,11,14,,,20,,,16,350,,394,18,,3,5,,12,,11,,,,23,3,,30,11,,Block Group 3; Census Tract 124.01; Boulder County; Colorado,,14,20,,,,16,3,,46,6,,8,12,,,3,21,,,12,,12,1500000US080130124013,,14,,,6,22,18,,,18,,55
,,,4,69,,10,1,,2,,,26,,14,,187,,2,18,,15,9,,,,,175,,,3,12,,,1681,14,0,,,11,,,16,814,,867,19,,6,11,,18,,19,,,,15,26,,87,5,,Block Group 4; Census Tract 124.01; Boulder County; Colorado,,4,12,,,,19,3,,190,3,,15,21,,,23,4,,,210,,7,1500000US080130124014,,7,,,1,188,5,,,2,,173
,,,36,12,,116,16,,28,,,164,,41,,21,,20,116,,96,13,,,,,24,,,7,66,,,1833,67,4,,,53,,,39,971,,862,59,,17,27,,42,,25,,,,52,34,,20,31,,Block Group 1; Census Tract 125.01; Boulder County; Colorado,,40,40,,,,36,17,,21,18,,40,31,,,32,28,,,9,,37,1500000US080130125011,,33,,,24,63,29,,,24,,65
,,,3,7,,33,6,,11,,,34,,20,,3,,6,25,,13,13,,,,,1,,,10,27,,,639,17,3,,,12,,,27,308,,331,17,,13,4,,30,,12,,,,17,21,,3,11,,Block Group 2; Census Tract 125.01; Boulder County; Colorado,,24,14,,,,23,11,,7,9,,16,10,,,24,9,,,1,,13,1500000US080130125012,,11,,,3,20,8,,,17,,20
,,,8,8,,15,9,,12,,,33,,27,,18,,6,22,,16,1,,,,,23,,,13,14,,,771,23,2,,,16,,,21,408,,363,21,,18,13,,26,,15,,,,22,15,,5,20,,Block Group 1; Census Tract 125.05; Boulder County; Colorado,,15,20,,,,18,16,,9,6,,17,24,,,23,17,,,10,,12,1500000US080130125051,,21,,,18,15,27,,,20,,41
,,,57,34,,64,39,,56,,,114,,115,,23,,27,74,,70,31,,,,,34,,,34,81,,,2767,55,32,,,95,,,107,1408,,1359,83,,59,37,,103,,52,,,,105,36,,22,49,,Block Group 2; Census Tract 125.05; Boulder County; Colorado,,72,128,,,,50,35,,21,35,,87,104,,,98,40,,,23,,30,1500000US080130125052,,53,,,39,65,56,,,65,,78
,,,10,11,,13,21,,24,,,10,,18,,5,,9,5,,6,10,,,,,7,,,11,8,,,713,13,10,,,23,,,22,343,,370,16,,10,12,,33,,15,,,,30,15,,17,24,,Block Group 3; Census Tract 125.05; Boulder County; Colorado,,32,27,,,,27,9,,5,8,,24,28,,,28,24,,,2,,22,1500000US080130125053,,24,,,11,7,13,,,11,,3
,,,22,37,,104,8,,20,,,178,,24,,54,,3,105,,77,20,,,,,57,,,17,68,,,1747,34,5,,,40,,,37,1026,,721,43,,14,12,,30,,26,,,,36,32,,17,17,,Block Group 1; Census Tract 125.07; Boulder County; Colorado,,22,32,,,,32,15,,30,8,,26,31,,,23,12,,,30,,16,1500000US080130125071,,18,,,15,76,31,,,27,,166
,,,19,44,,78,13,,8,,,93,,35,,48,,0,69,,47,6,,,,,86,,,7,55,,,1633,45,1,,,39,,,46,891,,742,51,,11,9,,37,,30,,,,48,27,,32,21,,Block Group 2; Census Tract 125.07; Boulder County; Colorado,,37,36,,,,31,16,,51,13,,37,29,,,28,12,,,47,,17,1500000US080130125072,,9,,,10,88,15,,,13,,139
,,,19,11,,68,7,,4,,,97,,22,,21,,4,51,,44,2,,,,,15,,,4,28,,,1024,34,4,,,24,,,34,565,,459,31,,9,7,,25,,23,,,,29,26,,6,10,,Block Group 3; Census Tract 125.07; Boulder County; Colorado,,27,17,,,,6,6,,8,8,,37,19,,,22,13,,,22,,16,1500000US080130125073,,17,,,12,30,13,,,17,,75
,,,17,14,,38,10,,9,,,57,,30,,5,,2,47,,37,5,,,,,14,,,2,35,,,913,20,4,,,23,,,42,492,,421,22,,22,15,,30,,13,,,,43,22,,10,9,,Block Group 1; Census Tract 125.08; Boulder County; Colorado,,25,31,,,,29,11,,8,14,,20,30,,,24,10,,,8,,7,1500000US080130125081,,18,,,4,15,12,,,14,,36
,,,22,12,,93,3,,5,,,101,,33,,8,,5,93,,78,6,,,,,5,,,11,56,,,1209,68,5,,,41,,,40,608,,601,43,,2,10,,27,,32,,,,37,17,,8,20,,Block Group 2; Census Tract 125.08; Boulder County; Colorado,,15,21,,,,14,19,,11,8,,38,19,,,17,10,,,5,,17,1500000US080130125082,,14,,,12,31,30,,,9,,38
,,,9,10,,53,6,,7,,,57,,15,,11,,1,69,,43,1,,,,,12,,,5,29,,,830,24,1,,,20,,,24,460,,370,34,,14,5,,15,,25,,,,26,17,,5,8,,Block Group 3; Census Tract 125.08; Boulder County; Colorado,,18,25,,,,28,4,,10,4,,12,11,,,12,9,,,8,,7,1500000US080130125083,,9,,,11,32,13,,,14,,57
,,,16,10,,22,11,,11,,,18,,42,,6,,14,19,,7,18,,,,,0,,,16,25,,,853,26,11,,,27,,,33,420,,433,32,,17,6,,33,,15,,,,29,12,,11,8,,Block Group 1; Census Tract 125.09; Boulder County; Colorado,,27,35,,,,28,10,,2,7,,43,42,,,45,22,,,5,,9,1500000US080130125091,,12,,,12,5,28,,,13,,13
,,,24,10,,43,27,,31,,,57,,56,,7,,21,44,,40,26,,,,,1,,,52,46,,,1768,51,24,,,58,,,74,872,,896,69,,41,20,,81,,31,,,,78,32,,16,28,,Block Group 2; Census Tract 125.09; Boulder County; Colorado,,54,69,,,,66,12,,5,18,,64,74,,,73,36,,,10,,18,1500000US080130125092,,38,,,23,19,33,,,39,,29
,,,7,1,,9,10,,16,,,17,,38,,6,,8,19,,8,11,,,,,3,,,4,13,,,701,15,10,,,35,,,19,344,,357,25,,24,14,,34,,12,,,,21,11,,1,7,,Block Group 3; Census Tract 125.09; Boulder County; Colorado,,19,31,,,,20,6,,3,11,,26,37,,,40,11,,,2,,14,1500000US080130125093,,25,,,14,6,18,,,13,,7
,,,12,4,,6,21,,16,,,9,,24,,0,,17,14,,6,15,,,,,7,,,10,7,,,630,13,13,,,27,,,14,301,,329,16,,16,7,,24,,7,,,,21,17,,15,8,,Block Group 1; Census Tract 125.10; Boulder County; Colorado,,17,17,,,,14,9,,6,13,,23,14,,,31,17,,,1,,11,1500000US080130125101,,26,,,6,7,29,,,18,,5
,,,18,15,,17,26,,20,,,29,,55,,6,,7,25,,27,14,,,,,2,,,5,22,,,1096,16,3,,,38,,,39,530,,566,33,,17,19,,48,,20,,,,45,14,,10,22,,Block Group 2; Census Tract 125.10; Boulder County; Colorado,,37,38,,,,35,10,,3,29,,41,37,,,54,30,,,1,,27,1500000US080130125102,,30,,,19,14,31,,,33,,15
,,,39,16,,58,25,,39,,,65,,88,,11,,17,61,,52,18,,,,,7,,,9,49,,,1830,68,10,,,77,,,61,880,,950,55,,37,16,,80,,15,,,,79,9,,13,52,,Block Group 3; Census Tract 125.10; Boulder County; Colorado,,39,61,,,,30,41,,9,25,,66,53,,,46,38,,,9,,41,1500000US080130125103,,41,,,18,30,71,,,57,,29
,,,25,7,,14,14,,12,,,19,,28,,4,,9,26,,25,8,,,,,3,,,3,22,,,762,15,3,,,37,,,26,400,,362,26,,14,11,,17,,11,,,,17,10,,5,18,,Block Group 4; Census Tract 125.10; Boulder County; Colorado,,14,24,,,,6,18,,2,14,,42,19,,,18,22,,,1,,26,1500000US080130125104,,15,,,14,6,41,,,40,,11
,,,18,13,,100,36,,64,,,124,,22,,12,,43,99,,66,82,,,,,21,,,122,59,,,1799,47,63,,,46,,,33,906,,893,54,,11,11,,34,,17,,,,54,25,,9,23,,Block Group 1; Census Tract 125.11; Boulder County; Colorado,,29,40,,,,33,15,,20,8,,36,23,,,28,24,,,10,,19,1500000US080130125111,,13,,,21,49,38,,,30,,55
