P12_005NA,P12_009NA,P12_047NA,P12_019N,P12_007N,P12_028NA,P12_035N,P12_023N,P12_043NA,P12_047N,P12_024NA,P12_001NA,P12_011N,P12_020NA,P12_040N,P12_016NA,P12_008N,P12_039NA,P12_024N,P12_012N,P12_035NA,P12_036N,P12_048N,P12_012NA,P12_031NA,P12_006NA,P12_029NA,P12_009N,P12_025NA,P12_048NA,P12_049N,P12_013N,P12_021NA,P12_044NA,P12_001N,P12_037N,P12_025N,P12_002NA,P12_040NA,P12_041N,P12_017NA,P12_036NA,P12_038N,P12_002N,P12_032NA,P12_026N,P12_014N,P12_013NA,P12_030N,P12_042N,P12_003NA,P12_039N,P12_026NA,P12_027N,P12_007NA,P12_049NA,P12_022NA,P12_015N,P12_003N,P12_045NA,P12_031N,P12_043N,P12_041NA,NAME,P12_014NA,P12_028N,P12_016N,P12_037NA,P12_018NA,P12_033NA,P12_004N,P12_020N,P12_010NA,P12_032N,P12_044N,P12_004NA,P12_017N,P12_005N,P12_008NA,P12_027NA,P12_029N,P12_045N,P12_023NA,P12_046NA,P12_033N,P12_042NA,P12_021N,GEO_ID,P12_015NA,P12_006N,P12_019NA,P12_038NA,P12_018N,P12_034N,P12_046N,P12_034NA,P12_011NA,P12_022N,P12_030NA,P12_010N
,,,9,0,,10,4,,6,,,10,,14,,1,,1,11,,19,2,,,,,1,,,4,10,,,350,7,1,,,17,,,10,181,,169,10,,3,7,,7,,7,,,,21,2,,1,11,,Block Group 3; Census Tract 137.05; Boulder County; Colorado,,8,16,,,,8,12,,1,3,,19,6,,,7,4,,,1,,12,1500000US080130137053,,2,,,8,7,13,,,16,,1
,,,24,8,,17,22,,28,,,23,,25,,2,,21,43,,32,10,,,,,3,,,5,31,,,933,35,7,,,37,,,22,482,,451,32,,18,21,,27,,11,,,,27,5,,3,36,,Block Group 1; Census Tract 137.06; Boulder County; Colorado,,21,36,,,,17,26,,1,22,,33,9,,,12,31,,,0,,32,1500000US080130137061,,19,,,14,4,33,,,40,,8
,,,37,2,,24,31,,14,,,22,,36,,3,,12,43,,58,9,,,,,4,,,4,54,,,1331,57,10,,,70,,,44,688,,643,47,,19,22,,45,,26,,,,45,23,,4,45,,Block Group 2; Census Tract 137.06; Boulder County; Colorado,,41,57,,,,27,28,,3,18,,51,43,,,27,26,,,5,,44,1500000US080130137062,,11,,,41,7,39,,,49,,4
,,,18,6,,20,9,,11,,,21,,33,,5,,4,18,,33,3,,,,,0,,,4,23,,,811,18,3,,,36,,,26,425,,386,32,,5,15,,33,,12,,,,42,13,,4,30,,Block Group 3; Census Tract 137.06; Boulder County; Colorado,,10,31,,,,17,22,,0,17,,49,20,,,21,17,,,5,,25,1500000US080130137063,,11,,,13,5,28,,,37,,6
,,,34,3,,18,6,,5,,,9,,34,,1,,6,39,,21,2,,,,,1,,,2,28,,,788,30,3,,,45,,,16,432,,356,34,,4,26,,34,,16,,,,42,10,,3,20,,Block Group 4; Census Tract 137.06; Boulder County; Colorado,,8,37,,,,17,19,,1,21,,49,13,,,11,26,,,0,,15,1500000US080130137064,,10,,,21,3,10,,,24,,11
,,,10,10,,62,0,,9,,,77,,17,,10,,2,59,,56,0,,,,,4,,,1,30,,,869,39,0,,,15,,,30,438,,431,30,,8,8,,26,,24,,,,27,29,,7,8,,Block Group 1; Census Tract 606.01; Boulder County; Colorado,,19,27,,,,13,6,,5,7,,21,20,,,38,4,,,5,,5,1500000US080130606011,,14,,,9,33,10,,,2,,33
,,,37,26,,72,17,,9,,,67,,101,,16,,8,108,,91,8,,,,,15,,,5,101,,,2308,92,1,,,101,,,84,1164,,1144,94,,38,20,,93,,63,,,,94,50,,29,48,,Block Group 2; Census Tract 606.01; Boulder County; Colorado,,75,102,,,,59,10,,9,20,,87,88,,,84,25,,,12,,17,1500000US080130606012,,61,,,37,42,23,,,32,,37
,,,12,10,,108,3,,5,,,143,,36,,11,,2,99,,82,6,,,,,17,,,1,70,,,1394,60,2,,,31,,,38,733,,661,50,,20,21,,48,,24,,,,43,31,,4,11,,Block Group 3; Census Tract 606.01; Boulder County; Colorado,,31,35,,,,41,14,,14,8,,31,26,,,23,5,,,3,,8,1500000US080130606013,,11,,,11,63,19,,,14,,49
,,,34,12,,50,17,,9,,,61,,45,,9,,4,62,,32,12,,,,,7,,,7,42,,,1320,48,3,,,56,,,50,688,,632,58,,22,13,,34,,34,,,,39,33,,15,19,,Block Group 1; Census Tract 606.02; Boulder County; Colorado,,37,46,,,,30,21,,5,29,,56,30,,,44,26,,,8,,18,1500000US080130606021,,33,,,12,12,25,,,37,,24
,,,14,1,,5,14,,12,,,11,,19,,1,,6,9,,7,7,,,,,1,,,10,8,,,481,12,4,,,20,,,15,232,,249,19,,16,14,,13,,11,,,,15,12,,7,15,,Block Group 1; Census Tract 607; Boulder County; Colorado,,13,23,,,,10,6,,3,5,,16,21,,,10,14,,,3,,6,1500000US080130607001,,9,,,15,12,6,,,9,,2
,,,29,12,,16,16,,21,,,30,,53,,12,,4,26,,30,12,,,,,1,,,9,32,,,1198,43,12,,,49,,,49,615,,583,40,,24,15,,29,,24,,,,42,20,,9,32,,Block Group 2; Census Tract 607; Boulder County; Colorado,,21,49,,,,34,26,,1,20,,40,57,,,45,22,,,3,,27,1500000US080130607002,,37,,,19,24,32,,,32,,18
,,,33,18,,56,16,,28,,,66,,44,,9,,18,51,,42,20,,,,,12,,,23,50,,,1376,46,11,,,69,,,32,693,,683,32,,22,23,,37,,13,,,,41,20,,16,45,,Block Group 3; Census Tract 607; Boulder County; Colorado,,34,42,,,,34,23,,7,12,,72,24,,,27,11,,,19,,25,1500000US080130607003,,21,,,26,15,42,,,26,,23
,,,7,0,,1,3,,3,,,1,,7,,0,,2,3,,2,3,,,,,0,,,0,7,,,158,5,2,,,0,,,4,75,,83,9,,0,5,,9,,3,,,,4,1,,0,1,,Block Group 1; Census Tract 608.01; Boulder County; Colorado,,6,5,,,,5,6,,1,2,,1,3,,,14,7,,,0,,2,1500000US080130608011,,2,,,3,1,9,,,9,,0
,,,28,22,,64,12,,18,,,77,,59,,9,,13,81,,72,4,,,,,13,,,2,60,,,1818,81,1,,,70,,,87,879,,939,71,,42,25,,55,,53,,,,57,50,,16,35,,Block Group 2; Census Tract 608.01; Boulder County; Colorado,,60,50,,,,55,16,,13,25,,55,53,,,60,24,,,13,,26,1500000US080130608012,,51,,,23,32,29,,,25,,31
,,,11,22,,138,17,,24,,,155,,43,,12,,2,99,,114,9,,,,,6,,,21,83,,,1929,71,6,,,44,,,71,953,,976,74,,21,14,,56,,48,,,,51,52,,19,19,,Block Group 3; Census Tract 608.01; Boulder County; Colorado,,61,46,,,,66,7,,12,9,,27,72,,,58,19,,,12,,17,1500000US080130608013,,27,,,19,68,25,,,20,,62
,,,17,21,,56,2,,2,,,65,,54,,8,,0,70,,53,0,,,,,14,,,3,63,,,1434,54,3,,,37,,,62,743,,691,58,,36,16,,40,,40,,,,55,39,,16,24,,Block Group 1; Census Tract 608.02; Boulder County; Colorado,,54,39,,,,47,12,,15,14,,35,68,,,64,7,,,12,,18,1500000US080130608021,,38,,,14,22,10,,,11,,46
,,,17,13,,43,5,,17,,,56,,19,,4,,7,41,,45,6,,,,,1,,,7,31,,,937,43,4,,,37,,,28,463,,474,20,,22,14,,30,,32,,,,22,34,,9,21,,Block Group 2; Census Tract 608.02; Boulder County; Colorado,,19,23,,,,37,12,,5,6,,30,26,,,9,10,,,5,,10,1500000US080130608022,,18,,,14,18,29,,,24,,14
,,,18,20,,94,12,,29,,,102,,55,,12,,13,85,,88,8,,,,,13,,,10,78,,,1917,93,8,,,47,,,62,935,,982,70,,15,25,,57,,55,,,,55,56,,21,42,,Block Group 3; Census Tract 608.02; Boulder County; Colorado,,53,48,,,,85,17,,12,13,,48,70,,,75,43,,,9,,19,1500000US080130608023,,26,,,11,44,32,,,20,,49
,,,22,8,,28,15,,8,,,38,,20,,7,,11,43,,42,9,,,,,4,,,10,28,,,812,12,2,,,34,,,33,419,,393,25,,22,2,,28,,14,,,,23,21,,8,15,,Block Group 4; Census Tract 608.02; Boulder County; Colorado,,27,20,,,,12,12,,3,14,,24,22,,,24,12,,,2,,12,1500000US080130608024,,25,,,16,10,16,,,16,,13
,,,16,7,,52,12,,30,,,55,,47,,2,,11,68,,75,18,,,,,4,,,35,87,,,1618,83,6,,,49,,,71,772,,846,52,,24,13,,44,,40,,,,59,63,,11,42,,Block Group 1; Census Tract 609; Boulder County; Colorado,,44,53,,,,55,12,,7,21,,50,33,,,46,34,,,5,,24,1500000US080130609001,,31,,,27,24,31,,,27,,18
,,,46,21,,56,19,,37,,,52,,88,,14,,18,64,,70,15,,,,,11,,,15,101,,,2396,100,13,,,103,,,89,1204,,1192,93,,37,39,,99,,77,,,,74,95,,30,35,,Block Group 2; Census Tract 609; Boulder County; Colorado,,80,110,,,,80,28,,4,28,,91,88,,,74,40,,,18,,30,1500000US080130609002,,61,,,24,23,35,,,43,,28
,,,20,20,,68,12,,9,,,90,,31,,2,,3,64,,67,10,,,,,7,,,3,82,,,1427,62,10,,,36,,,60,714,,713,59,,25,21,,59,,38,,,,49,37,,6,23,,Block Group 3; Census Tract 609; Boulder County; Colorado,,47,33,,,,41,15,,9,21,,26,36,,,46,13,,,5,,14,1500000US080130609003,,36,,,12,21,33,,,17,,29
,,,15,15,,16,4,,2,,,18,,87,,9,,5,27,,27,4,,,,,13,,,1,38,,,1467,60,5,,,55,,,51,764,,703,66,,46,10,,74,,40,,,,73,34,,31,15,,Block Group 1; Census Tract 613; Boulder County; Colorado,,60,76,,,,76,9,,5,15,,62,95,,,57,6,,,3,,12,1500000US080130613001,,66,,,19,23,15,,,7,,20
,,,20,29,,24,18,,13,,,22,,95,,21,,4,32,,37,1,,,,,7,,,4,70,,,1874,64,2,,,81,,,69,925,,949,62,,68,29,,92,,52,,,,63,43,,27,27,,Block Group 2; Census Tract 613; Boulder County; Colorado,,83,90,,,,78,21,,5,28,,92,82,,,83,18,,,14,,18,1500000US080130613002,,72,,,27,19,16,,,15,,37
,,,19,42,,32,11,,15,,,44,,123,,21,,8,48,,70,1,,,,,12,,,5,58,,,2229,73,2,,,72,,,85,1132,,1097,87,,57,22,,141,,53,,,,119,54,,23,19,,Block Group 1; Census Tract 614; Boulder County; Colorado,,98,105,,,,81,11,,12,6,,100,146,,,126,11,,,12,,17,1500000US080130614001,,78,,,19,22,19,,,16,,34
,,,32,29,,35,16,,8,,,41,,104,,18,,8,21,,30,8,,,,,7,,,5,42,,,1902,57,1,,,86,,,78,934,,968,61,,63,24,,103,,21,,,,98,41,,26,41,,Block Group 2; Census Tract 614; Boulder County; Colorado,,66,86,,,,42,12,,25,8,,93,109,,,105,21,,,7,,19,1500000US080130614002,,67,,,30,18,29,,,30,,31
