Vintage 2024 Prepared October 2025,,,,,,
id,countyfips,placefips,municipalityname,year,totalpopulation,countyplace
233,69,39855,Johnstown (Part),1980,,6939855
234,69,46465,Loveland,1980,30215,6946465
235,69,77510,Timnath (Part),1980,185,6977510
236,69,83230,Wellington,1980,1215,6983230
237,69,85485,Windsor (Part),1980,,6985485
238,69,99990,Unincorporated Larimer County,1980,47412,6999990
239,71,0,LAS ANIMAS COUNTY,1980,14897,7100000
240,71,760,Aguilar,1980,624,7100760
241,71,8345,Branson,1980,73,7108345
242,71,15550,Cokedale,1980,90,7115550
243,71,40570,Kim,1980,100,7140570
244,71,73715,Starkville,1980,127,7173715
245,71,78610,Trinidad,1980,9663,7178610
246,71,99990,Unincorporated Las Animas County,1980,4220,7199990
247,73,0,LINCOLN COUNTY,1980,4663,7300000
248,73,3235,Arriba,1980,236,7303235
249,73,29680,Genoa,1980,165,7329680
250,73,37875,Hugo,1980,776,7337875
251,73,44980,Limon,1980,1805,7344980
252,73,99990,Unincorporated Lincoln County,1980,1681,7399990
253,75,0,LOGAN COUNTY,1980,19800,7500000
254,75,18640,Crook,1980,177,7518640
255,75,26875,Fleming,1980,388,7526875
256,75,38590,Iliff,1980,218,7538590
257,75,50040,Merino,1980,255,7550040
258,75,58235,Peetz,1980,220,7558235
259,75,73935,Sterling,1980,11385,7573935
260,75,99990,Unincorporated Logan County,1980,7157,7599990
261,77,0,MESA COUNTY,1980,81530,7700000
262,77,15605,Collbran,1980,344,7715605
263,77,19355,De Beque,1980,279,7719355
264,77,28745,Fruita,1980,2810,7728745
265,77,31660,Grand Junction,1980,27956,7731660
266,77,56970,Palisade,1980,1551,7756970
267,77,99990,Unincorporated Mesa County,1980,48590,7799990
268,79,0,MINERAL COUNTY,1980,804,7900000
269,79,14765,City of Creede,1980,610,7914765
270,79,99990,Unincorporated Mineral County,1980,194,7999990
271,81,0,MOFFAT COUNTY,1980,13133,8100000
272,81,17760,Craig,1980,8133,8117760
273,81,20495,Dinosaur,1980,313,8120495
274,81,99990,Unincorporated Moffat County,1980,4687,8199990
275,83,0,MONTEZUMA COUNTY,1980,16510,8300000
276,83,17375,Cortez,1980,7095,8317375
277,83,20770,Dolores,1980,802,8320770
278,83,48115,Mancos,1980,870,8348115
279,83,99990,Unincorporated Montezuma County,1980,7743,8399990
280,85,0,MONTROSE COUNTY,1980,24352,8500000
281,85,51745,Montrose,1980,8722,8551745
282,85,53120,Naturita,1980,819,8553120
283,85,54935,Nucla,1980,1027,8554935
284,85,55540,Olathe,1980,1262,8555540
285,85,99990,Unincorporated Montrose County,1980,12522,8599990
286,87,0,MORGAN COUNTY,1980,22513,8700000
287,87,9555,Brush,1980,4082,8709555
288,87,27810,Fort Morgan,1980,8768,8727810
289,87,36610,Hillrose,1980,213,8736610
290,87,45695,Log Lane Village,1980,709,8745695
291,87,84770,Wiggins,1980,531,8784770
292,87,99990,Unincorporated Morgan County,1980,8210,8799990
293,89,0,OTERO COUNTY,1980,22567,8900000
294,89,13460,Cheraw,1980,233,8913460
295,89,27975,Fowler,1980,1227,8927975
296,89,42110,La Junta,1980,8338,8942110
297,89,48500,Manzanola,1980,459,8948500
298,89,65190,Rocky Ford,1980,4804,8965190
299,89,75970,Swink,1980,668,8975970
300,89,99990,Unincorporated Otero County,1980,6838,8999990
301,91,0,OURAY COUNTY,1980,1925,9100000
302,91,56420,Ouray,1980,684,9156420
303,91,64200,Ridgway,1980,369,9164200
304,91,99990,Unincorporated Ouray County,1980,872,9199990
305,93,0,PARK COUNTY,1980,5333,9300000
306,93,1530,Alma,1980,132,9301530
307,93,25610,Fairplay,1980,421,9325610
308,93,99990,Unincorporated Park County,1980,4780,9399990
309,95,0,PHILLIPS COUNTY,1980,4542,9500000
310,95,34960,Haxtun,1980,1014,9534960
311,95,37270,Holyoke,1980,2092,9537270
312,95,57245,Paoli,1980,81,9557245
313,95,99990,Unincorporated Phillips County,1980,1355,9599990
314,97,0,PITKIN COUNTY,1980,10338,9700000
315,97,3620,Aspen,1980,3678,9703620
316,97,4935,Basalt (Part),1980,0,9704935
317,97,71755,Snowmass Village,1980,999,9771755
318,97,99990,Unincorporated Pitkin County,1980,5661,9799990
319,99,0,PROWERS COUNTY,1980,13070,9900000
320,99,31550,Granada,1980,557,9931550
321,99,34520,Hartman,1980,122,9934520
322,99,37215,Holly,1980,969,9937215
323,99,43110,Lamar,1980,7713,9943110
324,99,85045,Wiley,1980,425,9985045
325,99,99990,Unincorporated Prowers County,1980,3284,9999990
326,101,0,PUEBLO COUNTY,1980,125972,10100000
327,101,7795,Boone,1980,431,10107795
328,101,62000,Pueblo,1980,101686,10162000
329,101,66895,Rye,1980,232,10166895
330,101,99990,Unincorporated Pueblo County,1980,23623,10199990
331,103,0,RIO BLANCO COUNTY,1980,6255,10300000
332,103,49875,Meeker,1980,2356,10349875
333,103,62880,Rangely,1980,2113,10362880
334,103,99990,Unincorporated Rio Blanco County,1980,1786,10399990
335,105,0,RIO GRANDE COUNTY,1980,10511,10500000
336,105,12855,Center (Part),1980,0,10512855
337,105,19795,Del Norte,1980,1709,10519795
338,105,51635,Monte Vista,1980,3902,10551635
339,105,72395,South Fork,1980,,10572395
340,105,99990,Unincorporated Rio Grande County,1980,4900,10599990
341,107,0,ROUTT COUNTY,1980,13404,10700000
342,107,35070,Hayden,1980,1720,10735070
343,107,55155,Oak Creek,1980,929,10755155
344,107,73825,Steamboat Springs,1980,5098,10773825
345,107,86475,Yampa,1980,472,10786475
346,107,99990,Unincorporated Routt County,1980,5185,10799990
347,109,0,SAGUACHE COUNTY,1980,3935,10900000
348,109,7571,Bonza City,1980,8,10907571
349,109,12855,Center (Part),1980,1630,10912855
350,109,18420,Crestone,1980,54,10918420
351,109,51250,Moffat,1980,105,10951250
352,109,67005,Saguache,1980,656,10967005
353,109,99990,Unincorporated Saguache County,1980,1482,10999990
354,111,0,SAN JUAN COUNTY,1980,833,11100000
355,111,70580,Silverton,1980,794,11170580
356,111,99990,Unincorporated San Juan County,1980,39,11199990
357,113,0,SAN MIGUEL COUNTY,1980,3192,11300000
358,113,52550,Mountain Village,1980,,11352550
359,113,54880,Norwood,1980,478,11354880
360,113,55870,Ophir,1980,38,11355870
361,113,68655,Sawpit,1980,41,11368655
362,113,76795,Telluride,1980,1047,11376795
363,113,99990,Unincorporated San Miguel County,1980,1588,11399990
364,115,0,SEDGWICK COUNTY,1980,3266,11500000
365,115,39965,Julesburg,1980,1528,11539965
366,115,56475,Ovid,1980,439,11556475
367,115,68930,Sedgwick,1980,258,11568930
368,115,99990,Unincorporated Sedgwick County,1980,1041,11599990
369,117,0,SUMMIT COUNTY,1980,8848,11700000
370,117,7410,Blue River,1980,230,11707410
371,117,8400,Breckenridge,1980,818,11708400
372,117,20440,Dillon,1980,337,11720440
373,117,28690,Frisco,1980,1221,11728690
374,117,40550,Keystone,1980,,11740555
375,117,51690,Montezuma,1980,0,11751690
376,117,70525,Silverthorne,1980,989,11770525
377,117,99990,Unincorporated Summit County,1980,5253,11799990
378,119,0,TELLER COUNTY,1980,8034,11900000
379,119,18530,Cripple Creek,1980,655,11918530
380,119,32650,Green Mountain Falls (Part),1980,18,11932650
381,119,80865,Victor,1980,265,11980865
382,119,86090,Woodland Park,1980,2634,11986090
383,119,99990,Unincorporated Teller County,1980,4462,11999990
384,121,0,WASHINGTON COUNTY,1980,5304,12100000
385,121,925,Akron,1980,1716,12100925
386,121,56365,Otis,1980,534,12156365
387,121,99990,Unincorporated Washington County,1980,3054,12199990
388,123,0,WELD COUNTY,1980,123438,12300000
389,123,3950,Ault,1980,1056,12303950
390,123,6255,Berthoud (Part),1980,,12306255
391,123,8675,Brighton (Part),1980,0,12308675
392,123,9280,Broomfield (Part),1980,,12309280
393,123,19080,Dacono,1980,2321,12319080
394,123,22860,Eaton,1980,1932,12322860
395,123,24950,Erie (Part),1980,1231,12324950
396,123,25280,Evans,1980,5063,12325280
397,123,26600,Firestone,1980,1204,12326600
398,123,27700,Fort Lupton,1980,4251,12327700
399,123,28360,Frederick,1980,855,12328360
400,123,29185,Garden City,1980,123,12329185
401,123,29955,Gilcrest,1980,1025,12329955
402,123,32155,Greeley,1980,53006,12332155
403,123,33310,Grover,1980,158,12333310
404,123,37820,Hudson,1980,698,12337820
405,123,39855,Johnstown (Part),1980,1535,12339855
406,123,40185,Keenesburg,1980,541,12340185
407,123,40515,Kersey,1980,913,12340515
408,123,43605,La Salle,1980,1929,12343605
409,123,45530,Lochbuie (Part),1980,895,12345530
410,123,45970,Longmont (Part),1980,,12345970
411,123,49600,Mead,1980,356,12349600
412,123,50480,Milliken,1980,1506,12350480
413,123,54330,Northglenn (Part),1980,0,12354330
414,123,55045,Nunn,1980,295,12355045
415,123,59005,Pierce,1980,878,12359005
416,123,60160,Platteville,1980,1662,12360160
417,123,63045,Raymer,1980,80,12363045
418,123,69150,Severance,1980,102,12369150
419,123,77290,Thornton (Part),1980,,12377290
420,123,77510,Timnath (Part),1980,,12377510
421,123,85485,Windsor (Part),1980,4277,12385485
422,123,99990,Unincorporated Weld County,1980,35542,12399990
423,125,0,YUMA COUNTY,1980,9682,12500000
424,125,23025,Eckley,1980,262,12523025
425,125,86310,Wray,1980,2131,12586310
426,125,86750,Yuma,1980,2824,12586750
427,125,99990,Unincorporated Yuma County,1980,4465,12599990
428,999,3455,Arvada (Total),1980,84576,99903455
429,999,4000,Aurora (Total),1980,158588,99904000
430,999,4935,Basalt (Total),1980,529,99904935
431,999,6090,Bennett (Total),1980,942,99906090
432,999,6255,Berthoud (Total),1980,2362,99906255
433,999,8070,Bow Mar (Total),1980,930,99908070
434,999,8675,Brighton (Total),1980,12773,99908675
435,999,9280,Broomfield (Total),1980,20730,99909280
436,999,12855,Center (Total),1980,1630,99912855
437,999,12910,Central City (Total),1980,329,99912910
438,999,24950,Erie (Total),1980,1254,99924950
439,999,32650,Green Mountain Falls (Total),1980,607,99932650
440,999,39855,Johnstown (Total),1980,1535,99939855
441,999,45255,Littleton (Total),1980,28631,99945255
442,999,45530,Lochbuie (Total),1980,895,99945530
443,999,45970,Longmont (Total),1980,42942,99945970
444,999,54330,Northglenn (Total),1980,29847,99954330
445,999,75640,Superior (Total),1980,208,99975640
446,999,77290,Thornton (Total),1980,40343,99977290
447,999,77510,Timnath (Total),1980,185,99977510
448,999,83835,Westminster (Total),1980,50211,99983835
449,999,85485,Windsor (Total),1980,4277,99985485
450,0,0,COLORADO STATE,1981,2980340,0
451,1,0,ADAMS COUNTY,1981,253031,100000
452,1,3455,Arvada (Part),1981,1389,103455
453,1,4000,Aurora (Part),1981,29346,104000
454,1,6090,Bennett (Part),1981,1069,106090
455,1,8675,Brighton (Part),1981,13145,108675
456,1,9280,Broomfield (Part),1981,5571,109280
457,1,16495,Commerce City,1981,16315,116495
458,1,26270,Federal Heights,1981,7971,126270
459,1,45530,Lochbuie (Part),1981,,145530
460,1,54330,Northglenn (Part),1981,29827,154330
461,1,77290,Thornton (Part),1981,44215,177290
462,1,83835,Westminster (Part),1981,33886,183835
463,1,99990,Unincorporated Adams County,1981,70297,199990
464,3,0,ALAMOSA COUNTY,1981,12184,300000
