P14_023NA,P14_025NA,P14_027NA,P14_029NA,P14_008NA,P14_006NA,P14_040NA,P14_004NA,P14_042NA,P14_002NA,P14_021NA,P14_020N,P14_040N,P14_024N,P14_012N,P14_032N,P14_028N,P14_016N,P14_004N,P14_036N,P14_008N,P14_013NA,P14_034NA,P14_015NA,P14_036NA,P14_017NA,P14_038NA,P14_019NA,P14_030NA,NAME,P14_011NA,P14_032NA,P14_031N,P14_035N,P14_023N,P14_011N,P14_043N,P14_039N,P14_027N,P14_015N,P14_003N,P14_019N,P14_007N,P14_024NA,P14_026NA,P14_028NA,P14_007NA,P14_005NA,P14_003NA,P14_020NA,P14_041NA,P14_001NA,P14_022NA,P14_043NA,P14_042N,P14_030N,P14_002N,P14_034N,P14_022N,P14_010N,P14_006N,P14_038N,P14_026N,P14_014N,P14_018N,P14_012NA,P14_035NA,P14_014NA,P14_037NA,P14_016NA,P14_039NA,P14_018NA,P14_031NA,P14_010NA,P14_033NA,GEO_ID,P14_041N,P14_013N,P14_001N,P14_033N,P14_009NA,P14_021N,P14_017N,P14_005N,P14_037N,P14_025N,P14_009N,P14_029N
,,,,,,,,,,,10,1,1,0,0,0,0,1,0,0,,,,,,,,,Block Group 1; Census Tract 123; Boulder County; Colorado,,,0,0,2156,0,1225,1,0,1,0,2,1,,,,,,,,,,,,922,0,2288,2,1497,0,1,1,0,1,0,,,,,,,,,,,1500000US080130123001,2,0,4444,0,,774,0,0,0,0,0,1
,,,,,,,,,,,6,0,4,3,0,6,0,6,0,7,,,,,,,,,Block Group 2; Census Tract 123; Boulder County; Colorado,,,3,0,49,2,11,0,0,2,6,1,4,,,,,,,,,,,,7,0,79,2,16,0,2,0,0,0,2,,,,,,,,,,,1500000US080130123002,6,2,128,0,,9,1,8,0,5,2,5
,,,,,,,,,,,4,0,11,0,3,7,4,7,1,0,,,,,,,,,Block Group 1; Census Tract 124.01; Boulder County; Colorado,,,0,4,148,2,86,2,2,1,5,3,0,,,,,,,,,,,,13,3,133,1,62,3,1,2,3,4,1,,,,,,,,,,,1500000US080130124011,0,0,281,2,,28,1,5,3,4,2,1
,,,,,,,,,,,9,3,4,1,0,5,2,7,2,6,,,,,,,,,Block Group 2; Census Tract 124.01; Boulder County; Colorado,,,0,1,172,5,109,4,7,3,5,4,4,,,,,,,,,,,,12,4,158,3,72,2,0,4,1,0,1,,,,,,,,,,,1500000US080130124012,1,2,330,1,,24,2,2,3,0,7,8
,,,,,,,,,,,2,0,3,4,5,6,3,1,0,1,,,,,,,,,Block Group 3; Census Tract 124.01; Boulder County; Colorado,,,0,0,61,2,25,0,1,1,0,5,2,,,,,,,,,,,,5,3,60,1,10,4,0,0,1,1,7,,,,,,,,,,,1500000US080130124013,3,0,121,1,,5,7,0,2,0,5,5
,,,,,,,,,,,4,2,2,7,1,2,3,0,2,4,,,,,,,,,Block Group 4; Census Tract 124.01; Boulder County; Colorado,,,2,3,139,1,58,1,5,0,8,0,6,,,,,,,,,,,,29,0,142,5,54,3,5,5,4,7,3,,,,,,,,,,,1500000US080130124014,3,10,281,1,,15,1,7,8,6,4,0
,,,,,,,,,,,9,3,3,7,12,3,2,5,4,8,,,,,,,,,Block Group 1; Census Tract 125.01; Boulder County; Colorado,,,6,8,134,10,4,3,4,14,10,8,11,,,,,,,,,,,,16,4,146,6,8,8,3,12,10,10,16,,,,,,,,,,,1500000US080130125011,11,4,280,12,,4,1,5,2,5,3,6
,,,,,,,,,,,5,3,0,7,3,6,1,3,6,6,,,,,,,,,Block Group 2; Census Tract 125.01; Boulder County; Colorado,,,7,3,76,2,0,7,2,1,9,4,4,,,,,,,,,,,,3,8,72,8,3,6,5,3,1,0,2,,,,,,,,,,,1500000US080130125012,3,4,148,3,,4,4,0,4,3,2,3
,,,,,,,,,,,10,3,3,1,1,4,2,5,3,4,,,,,,,,,Block Group 1; Census Tract 125.05; Boulder County; Colorado,,,1,6,76,5,2,6,0,3,5,6,2,,,,,,,,,,,,3,4,86,5,8,4,3,5,2,7,5,,,,,,,,,,,1500000US080130125051,9,7,162,2,,0,5,0,4,6,4,7
,,,,,,,,,,,14,28,7,16,17,14,19,11,19,9,,,,,,,,,Block Group 2; Census Tract 125.05; Boulder County; Colorado,,,12,17,303,6,7,11,6,21,8,17,7,,,,,,,,,,,,15,13,277,19,14,11,9,26,10,21,22,,,,,,,,,,,1500000US080130125052,20,25,580,14,,20,18,1,17,15,8,16
